time_h1,time_h2,time_m1,time_m2,start_m,finish_m,order,s
6,6,15,30,376,390,0,3
6,6,15,30,376,390,1,1
6,6,15,30,376,390,2,2
6,6,15,30,376,390,3,1
6,6,15,30,376,390,4,9
6,6,15,30,376,390,5,4
6,6,15,30,376,390,6,1
6,6,15,30,376,390,7,1
6,6,15,30,376,390,8,2
6,6,15,30,376,390,9,2
6,6,15,30,376,390,10,0
6,6,15,30,376,390,11,2
6,6,15,30,376,390,12,4
6,6,15,30,376,390,13,2
6,6,15,30,376,390,14,3
6,6,15,30,376,390,15,2
6,6,15,30,376,390,16,1
6,6,15,30,376,390,17,2
6,6,30,45,391,405,0,3
6,6,30,45,391,405,1,1
6,6,30,45,391,405,2,2
6,6,30,45,391,405,3,2
6,6,30,45,391,405,4,9
6,6,30,45,391,405,5,4
6,6,30,45,391,405,6,1
6,6,30,45,391,405,7,1
6,6,30,45,391,405,8,2
6,6,30,45,391,405,9,2
6,6,30,45,391,405,10,0
6,6,30,45,391,405,11,2
6,6,30,45,391,405,12,3
6,6,30,45,391,405,13,2
6,6,30,45,391,405,14,3
6,6,30,45,391,405,15,2
6,6,30,45,391,405,16,1
6,6,30,45,391,405,17,2
6,7,45,0,406,420,0,3
6,7,45,0,406,420,1,1
6,7,45,0,406,420,2,2
6,7,45,0,406,420,3,2
6,7,45,0,406,420,4,10
6,7,45,0,406,420,5,4
6,7,45,0,406,420,6,1
6,7,45,0,406,420,7,1
6,7,45,0,406,420,8,2
6,7,45,0,406,420,9,2
6,7,45,0,406,420,10,0
6,7,45,0,406,420,11,2
6,7,45,0,406,420,12,4
6,7,45,0,406,420,13,2
6,7,45,0,406,420,14,3
6,7,45,0,406,420,15,2
6,7,45,0,406,420,16,1
6,7,45,0,406,420,17,2
7,7,0,15,421,435,0,3
7,7,0,15,421,435,1,1
7,7,0,15,421,435,2,2
7,7,0,15,421,435,3,2
7,7,0,15,421,435,4,11
7,7,0,15,421,435,5,4
7,7,0,15,421,435,6,1
7,7,0,15,421,435,7,1
7,7,0,15,421,435,8,2
7,7,0,15,421,435,9,2
7,7,0,15,421,435,10,0
7,7,0,15,421,435,11,2
7,7,0,15,421,435,12,3
7,7,0,15,421,435,13,2
7,7,0,15,421,435,14,3
7,7,0,15,421,435,15,2
7,7,0,15,421,435,16,1
7,7,0,15,421,435,17,2
7,7,15,30,436,450,0,3
7,7,15,30,436,450,1,1
7,7,15,30,436,450,2,2
7,7,15,30,436,450,3,2
7,7,15,30,436,450,4,12
7,7,15,30,436,450,5,4
7,7,15,30,436,450,6,1
7,7,15,30,436,450,7,1
7,7,15,30,436,450,8,2
7,7,15,30,436,450,9,2
7,7,15,30,436,450,10,0
7,7,15,30,436,450,11,2
7,7,15,30,436,450,12,3
7,7,15,30,436,450,13,2
7,7,15,30,436,450,14,3
7,7,15,30,436,450,15,3
7,7,15,30,436,450,16,1
7,7,15,30,436,450,17,2
7,7,30,45,451,465,0,4
7,7,30,45,451,465,1,1
7,7,30,45,451,465,2,3
7,7,30,45,451,465,3,2
7,7,30,45,451,465,4,13
7,7,30,45,451,465,5,4
7,7,30,45,451,465,6,1
7,7,30,45,451,465,7,1
7,7,30,45,451,465,8,2
7,7,30,45,451,465,9,2
7,7,30,45,451,465,10,0
7,7,30,45,451,465,11,2
7,7,30,45,451,465,12,3
7,7,30,45,451,465,13,2
7,7,30,45,451,465,14,3
7,7,30,45,451,465,15,2
7,7,30,45,451,465,16,1
7,7,30,45,451,465,17,2
7,8,45,0,466,480,0,4
7,8,45,0,466,480,1,2
7,8,45,0,466,480,2,4
7,8,45,0,466,480,3,2
7,8,45,0,466,480,4,14
7,8,45,0,466,480,5,4
7,8,45,0,466,480,6,1
7,8,45,0,466,480,7,1
7,8,45,0,466,480,8,2
7,8,45,0,466,480,9,2
7,8,45,0,466,480,10,0
7,8,45,0,466,480,11,2
7,8,45,0,466,480,12,3
7,8,45,0,466,480,13,2
7,8,45,0,466,480,14,3
7,8,45,0,466,480,15,2
7,8,45,0,466,480,16,1
7,8,45,0,466,480,17,2
