Label,Boarding time,Boarding station,Alighting station,Arrival time
4000140112022863,856,7,14,845
4000003903345581,833,1,3,832
4000000216634946,878,17,25,873
4000001512591685,865,12,25,862
4000001830077450,835,2,6,830
4000140112609335,833,1,4,832
4000000213362149,837,3,7,833
4000140112993965,856,7,11,850
4000000000794787,857,7,8,856
4000140112078087,856,7,14,846
4000140112547848,856,7,12,848
4000140120331187,857,7,12,856
4000000210400437,847,5,7,846
4000140120304967,862,9,26,861
4000000001633065,887,20,23,880
4000001520252698,835,2,4,831
4000001850181342,833,1,7,832
4000003904345593,847,5,7,846
4000003911837266,834,1,26,832
4000000223066985,856,7,11,849
4000000214066502,676,11,25,670
4000003940929746,634,0,26,633
4000140129061525,686,15,26,673
4000150210034466,646,1,7,645
4000001520446117,671,8,10,670
3104920031001747616,673,9,22,662
4000001512615231,695,20,26,690
4000001840921605,700,23,26,694
4000003900646279,695,20,26,691
4000003923730510,646,1,6,645
4000001830339429,660,5,7,651
4000001840523053,649,2,26,648
4000001855234309,697,21,26,696
4000030110444847,674,10,15,673
4000000310923945,660,5,7,659
4000001840781558,662,6,25,661
4000000221577737,668,7,8,667
4000001840412321,670,8,15,668
4000003901253985,648,2,7,646
4000003910283765,676,11,25,674
4000140120338487,653,4,7,646
4000140210051545,634,0,26,631
4000001512069128,653,4,10,648
4000000215700118,641,0,26,636
4000000210053127,827,20,26,826
4000001512566534,834,24,26,827
4000003921331091,833,23,26,832
4000140112843594,789,6,10,788
4000150210064632,777,2,6,776
4000030111078351,774,1,5,764
4000000215111148,787,5,7,786
4000000223408554,825,19,26,814
4000000224059212,795,7,8,784
4000001855304775,799,8,10,798
4000140112011117,782,4,7,781
4000000223102582,770,0,7,761
4000000210753568,827,20,26,826
4000001512386341,787,5,7,785
4000140112702530,771,0,2,766
4000000004312296,834,24,26,823
4000000212787109,827,20,26,815
4000000223686889,815,15,26,814
4000000212042232,774,1,7,772
4000000217150525,825,19,26,821
4000000227009939,834,24,26,830
4000003907257644,829,21,26,826
4000140110205978,810,13,25,809
4000000213822111,803,10,15,799
4000000223224360,780,3,9,775
4000140112841080,796,7,11,795
4000000211891576,830,17,26,829
4000030110962616,838,19,26,836
4000001830315898,799,5,7,796
4000003904689182,801,6,7,800
4000030110524606,799,5,7,792
3104920031001205987,846,23,26,829
4000000216351435,842,21,26,835
4000000223087376,814,9,26,799
4000001520262711,808,7,12,806
4000001830285649,801,6,13,800
4000001840803469,814,9,26,807
4000003904410361,788,1,7,785
4000140210032820,790,2,20,789
4000000221580595,808,7,12,807
4000001520198278,838,19,26,833
4000140120251866,808,7,10,806
4000000223234355,830,17,26,828
4000003927860105,799,5,7,798
3104920031000174564,790,2,6,784
4000001840302427,799,5,7,797
4000003918087739,851,25,26,850
4000000214662887,788,1,13,787
4000140110180301,814,9,26,812
4000000216884965,842,21,26,838
4000000310365619,793,3,7,787
4000003943280935,838,19,26,836
3104920033000419684,605,24,26,600
4000000211465538,547,3,7,546
4000000214980695,542,1,4,536
4000001520195052,571,10,15,570
4000001840937573,542,1,7,541
4000140110377675,573,12,25,572
4000140112298399,547,3,25,546
4000140129014772,573,12,21,572
4000150210082331,571,10,19,570
4000000211256331,577,13,25,575
4000001512595214,536,0,2,526
4000001830089704,583,15,17,579
4000001840684302,536,0,20,535
4000003931483985,572,11,19,570
4000001855252803,529,0,1,528
4000003918302547,536,0,13,535
4000000007654400,467,10,22,466
4000000215507404,457,7,8,455
4000001830370757,480,15,21,474
4000003928066084,456,7,10,455
4000003929072557,485,17,21,484
4000003929603275,485,17,21,484
4000140129000297,469,11,26,460
3104920031000777119,464,9,20,463
4000000211384575,477,14,26,476
4000000214121222,460,8,9,459
4000000211772007,434,2,21,431
4000000220847826,457,7,8,456
4000000222336775,445,6,7,444
4000001512555327,456,7,17,455
4000001840024307,464,9,16,456
4000001840387261,464,9,20,459
4000001855302846,456,7,14,455
3104920031001386415,433,1,2,432
4000000222261247,497,19,26,494
4000001512320884,469,11,26,458
4000001840477200,464,9,20,462
4000001855266690,457,7,8,456
4000030127002924,469,11,21,467
4000140112139644,500,20,26,493
4000001520081068,469,11,26,457
4000001520386241,464,9,20,449
4000140110483745,467,10,20,466
4000140110493739,435,2,6,434
4000140112628632,508,24,26,499
4000140210056835,469,11,26,465
4000150210066068,485,17,26,484
4000000221850701,456,7,8,455
4000001850064055,507,23,26,506
4000003910372835,483,16,21,474
4000140110169736,432,1,3,431
4000140120048907,467,10,25,466
4000000216726459,480,15,26,473
4000000221507463,456,7,25,455
4000001840067302,469,11,26,465
4000001840562939,432,1,3,431
4000001840978094,456,7,8,455
4000003904231186,469,11,21,463
4000003932621690,469,11,26,459
4000000004801778,502,21,25,501
4000000214617083,464,9,20,462
4000000222480260,434,2,7,429
4000001840804684,485,17,21,484
4000003902743540,492,18,21,489
4000003908407700,456,7,12,455
4000030110744199,456,7,8,455
4000140112618525,426,0,1,422
4000000224019404,481,15,19,480
4000000215056845,508,24,26,497
4000001840310412,493,18,21,492
4000003912378564,500,20,26,490
4000003935487192,456,7,12,455
4000140112024460,432,1,3,431
3104920031001290971,464,9,20,461
4000000210419440,497,19,26,492
4000001855040248,614,20,26,613
4000003908026089,558,1,26,557
4000003930544313,543,0,7,542
4000003932182123,589,10,26,570
4000001840413194,589,10,26,580
4000030127030209,560,2,6,559
4000140110450973,560,2,4,559
4000140112570123,611,19,26,610
4000000214272217,572,6,10,571
4000001840445723,581,7,10,580
4000003900441923,558,1,6,557
4000000213750861,550,0,2,543
4000001529001665,581,7,8,580
4000003925778451,560,2,10,559
4000140112175011,580,7,10,579
4000140112481055,589,10,26,572
4000000210287256,549,0,7,547
4000000211413685,581,7,10,580
4000001840294746,558,1,6,557
4000030110509435,587,9,26,578
4000000213473029,611,19,26,610
4000003918334634,585,8,13,584
4000140110566535,589,10,26,585
4000140112621397,560,2,7,559
3105170070170566228,581,7,10,580
4000001830243740,589,10,26,585
4000001840828549,558,1,6,557
4000140120230382,589,10,26,584
4000000213500467,560,2,7,559
4000000214680481,572,6,19,571
4000000215266643,565,4,7,564
4000000223653381,588,9,26,587
4000000216231258,570,5,26,569
4000000222713066,620,24,26,619
4000003900335113,581,7,17,580
4000030127009298,580,7,11,567
4000150210060768,558,1,2,557
3104920033000014931,585,8,10,584
4000000211782009,611,19,21,610
4000003900947641,588,9,26,587
4000003907041118,587,9,20,585
4000030110838808,619,24,26,615
4000140112464184,560,2,7,559
4000140120224914,589,10,26,588
4000000212320104,581,7,13,580
4000000212455827,558,1,6,557
3104920033000524129,517,1,4,512
4000001512493652,542,7,10,541
4000140110022355,520,2,3,519
4000200112060578,504,0,1,503
4000140110443198,548,10,26,545
4000140110534981,520,2,3,519
4000140122046965,534,6,18,533
3104920031001762490,542,7,8,541
3104920031003005559,542,7,9,541
4000000213822837,541,7,10,536
4000000223526609,547,9,26,546
4000000220516390,555,13,26,554
4000000224204602,500,0,11,499
4000001830126977,534,6,7,533
4000001840502310,517,1,4,505
4000003908447414,524,3,6,519
4000003930414111,569,18,26,568
4000140110145695,500,0,3,495
4000000212561709,552,12,15,549
4000140112422534,534,6,7,533
4000140120210196,520,2,3,519
4000140120243893,548,10,26,545
4000150210004196,545,8,18,544
4000000213830064,545,8,9,544
4000000216564330,517,1,6,505
4000140110569212,551,11,26,550
4000140112972348,548,10,26,545
4000140120142270,545,8,9,544
4000140120205411,551,11,25,550
3104920031002899606,550,11,26,545
3105170070106890915,555,13,26,554
4000000210044803,583,24,26,582
4000140120244437,524,3,4,519
3104920031000778109,542,7,11,541
3104920031001213601,583,24,26,581
4000001512277554,550,11,20,548
4000001840227202,542,7,8,541
4000003901910941,547,9,26,546
4000140110451491,542,7,9,541
4000140120150636,563,17,26,561
4000140120284841,545,8,9,544
4000000223436166,520,2,6,519
4000001840091446,542,7,10,541
4000001840981494,542,7,8,541
4000003943403556,542,7,10,541
4000140112465084,547,9,26,545
4000000212143604,545,8,9,544
4000001520392822,500,0,7,496
4000003938873615,558,15,19,550
4000140110209260,524,3,4,519
4000140110317803,526,4,5,525
4000140110534932,524,3,5,515
4000140120115563,563,17,25,561
4000000222997212,542,7,10,541
4000140110476984,548,10,26,546
4000140112494493,524,3,5,499
4000140129048070,547,9,17,546
4000140129111889,551,11,25,550
3104920031001532521,550,11,26,545
4000000210501101,548,10,26,541
4000000217045692,547,9,26,546
4000001512526016,534,6,7,533
4000001530091383,547,9,26,546
4000001850183179,520,2,3,519
4000140112031038,561,16,25,560
4000150210062193,549,10,26,548
3104920031003065470,548,10,26,546
4000030127038945,895,2,5,887
4000000221185035,946,24,26,945
4000001850003799,905,6,7,904
4000140110156278,893,1,6,892
4000140112135556,885,0,17,881
4000140112751552,893,1,7,892
4000000222374794,912,7,11,911
4000140210082676,897,3,7,893
4000000216708549,915,8,10,912
4000001840683163,918,9,22,915
4000003924305096,912,7,25,911
4000140112959951,897,3,9,894
4000140129001071,885,0,17,881
4000000214085530,940,20,26,939
4000000222977219,904,5,7,903
4000001520103186,935,18,26,932
4000140129105761,905,6,9,904
4000000005878813,912,7,8,911
4000001520072886,904,5,7,903
4000000211753128,921,11,25,920
4000000216428818,897,3,25,891
4000000216838947,912,7,11,911
4000030111019310,912,7,12,911
4000000215683321,904,5,7,903
4000003915125811,904,5,7,903
4000003943028371,918,9,22,912
4000140112553716,905,6,9,904
4000001840860524,822,3,25,816
4000000221575928,843,7,13,842
4000000224219163,817,1,3,816
4000000310869959,873,20,26,855
4000003903553410,847,8,15,839
4000003913739710,834,5,7,828
4000030127044484,819,2,6,818
4000140129043073,860,14,19,859
4000003900905295,850,9,22,849
4000030111013101,817,1,9,816
4000150210096774,854,11,26,837
3104920032000347002,817,1,9,816
4000000220840325,852,10,26,851
4000000221847481,819,2,4,818
4000140110016081,877,24,26,876
4000000214299918,817,1,9,816
4000001840216465,817,1,3,816
4000001840501909,847,8,10,833
4000003921780534,877,24,26,873
4000000212342492,807,0,2,802
4000000215560878,837,6,7,836
4000001840860521,822,3,9,817
4000003926516302,835,5,7,834
4000000213661865,837,6,17,836
4000000217110491,837,6,10,836
4000000229001102,819,2,22,818
4000001830264283,817,1,4,816
4000003936327631,843,7,15,842
4000000211994728,807,0,7,804
4000003901262510,843,7,15,842
4000003907012688,863,15,17,833
4000140210010659,854,11,26,850
4000000212030322,817,1,7,816
4000000212702151,871,19,26,870
4000001840877042,844,7,8,843
4000003910240498,837,6,13,836
4000003916915116,901,25,26,900
4000000221608870,843,0,5,830
4000000213519333,844,0,7,828
4000140210026963,857,5,7,851
4000000215385846,872,12,25,869
4000001520103679,894,23,26,893
4000000810006159,857,5,7,853
4000200112003508,847,0,6,835
4000000220978477,849,0,6,847
4000000810035738,899,25,26,898
4000000221385750,843,0,5,839
3104920031000426899,1265,8,14,1264
4000003906203028,1255,6,7,1254
4000003924179476,1261,7,11,1235
4000140110273837,1262,7,10,1261
4000140127090151,1292,20,22,1291
4000000004413520,1242,1,15,1231
4000000004542716,1264,8,9,1257
4000000310428420,1249,4,7,1217
4000000001044162,1265,8,9,1264
4000000210400315,1264,8,9,1256
4000000215135639,1265,8,11,1264
4000003909339178,1289,19,26,1288
4000000005497584,1267,9,22,1266
4000000310410317,1249,4,7,1236
4000000312229766,1242,1,6,1228
3104920032000718848,1254,5,7,1253
4000000412012832,1269,11,25,1260
4000001840471028,1265,8,9,1264
4000003940348901,1292,20,25,1291
4000003935861909,1265,8,9,1263
4000003907618819,1255,6,7,1254
4000030111039972,1265,8,11,1264
4000000006532428,1278,15,26,1275
4000003927480563,1253,5,7,1252
4000003935740285,1247,3,6,1240
4000003936179760,1265,8,9,1264
4000000210542266,1292,20,26,1291
4000000215274827,1261,7,8,1255
4000001840839094,1288,19,26,1285
4000000007687652,393,9,26,385
4000000223510858,415,18,26,414
4000000223874310,366,1,4,365
4000001512487477,360,0,11,359
4000140127076493,415,18,20,414
4000150210006976,390,8,15,388
4000150210063486,366,1,4,360
4000000211005088,425,23,26,424
4000000213501092,374,4,7,373
4000000214039444,381,6,25,379
4000000216811613,386,7,13,380
4000000217421590,425,23,26,424
4000000221103528,407,15,25,406
4000000221637254,368,2,6,364
4000140112615583,425,23,26,424
3104920031320135279,380,6,7,379
4000000215731164,368,2,7,361
4000000221662727,415,18,26,414
4000000227040381,386,7,15,378
4000000810031044,424,22,25,423
4000001840925111,386,7,8,381
4000140120238647,417,19,26,416
4000000212135379,395,10,15,394
4000000213789348,415,18,26,414
4000000220318255,415,18,26,413
4000000312124926,363,0,4,359
4000001512371715,415,18,26,414
4000001855281515,400,12,21,399
4000003933883037,400,12,25,399
4000140112097831,427,24,26,426
4000150210049125,380,6,7,379
4000000217598286,374,4,7,373
4000000220412662,393,9,26,391
4000000311160309,366,1,7,358
4000140110352903,415,18,25,414
4000000210119254,399,12,21,398
4000000217128485,390,8,10,377
4000000217171327,402,13,19,400
4000000221845194,409,16,20,404
4000000311154616,380,6,7,379
4000000810035738,402,13,25,395
4000001830343897,369,2,25,368
4000001855204239,425,23,26,424
4000140112548380,424,22,26,423
4000140112630372,366,1,6,365
4000000212357517,371,3,6,363
4000000215231242,425,23,26,424
4000140110324365,368,2,7,364
4000150210003765,393,9,26,391
4000000211604432,390,8,20,385
4000001840304192,386,7,8,374
4000140110063682,368,2,7,365
4000140112079739,425,23,26,424
4000140120155422,420,21,25,418
4000000211077349,373,4,7,363
4000000215352518,371,3,7,368
4000003911526890,575,14,19,573
4000140129092308,569,11,20,568
4000001840935381,595,20,26,594
4000003900391663,569,11,25,568
4000140112023203,573,13,16,572
4000003912609762,566,10,19,565
4000140110377675,566,10,12,565
4000140110453518,550,6,7,548
4000140120247151,573,13,16,572
4000000214108265,562,8,26,560
4000000221798110,562,8,10,555
4000000222253282,573,13,17,572
4000000223468090,559,7,8,558
4000001830311765,562,8,15,559
4000001855201625,566,10,26,561
4000000215521592,543,4,7,540
4000003909684406,573,13,25,572
4000140120291744,579,15,17,578
3104920033000570320,566,10,26,561
4000000214407294,559,7,8,558
4000000223673219,592,19,26,589
4000001830170952,581,16,19,579
4000000211231496,559,7,8,557
4000000211270265,592,19,26,588
4000003912312467,532,1,3,531
4000140110580732,525,0,1,524
4000140120133827,579,15,16,578
4000000000063518,565,9,15,561
4000000214512030,550,6,7,549
4000001840801654,595,20,21,594
4000140112793651,600,23,26,591
4000000007131276,559,7,9,558
4000000210987897,558,7,14,557
4000000211576697,559,7,9,558
4000000212130714,575,14,26,568
4000000215411682,562,8,26,559
4000140120098668,567,10,26,566
4000000210390798,1103,5,7,1101
4000150210061391,1104,5,7,1102
4000000215167825,1139,17,26,1138
4000000215625100,1103,5,7,1097
4000000220176122,1090,4,7,1089
4000000412008204,1103,5,7,1096
4000003903286413,1104,5,9,1103
4000003908717479,1113,7,11,1112
4000140120001780,1150,20,26,1141
4000001840335628,1124,11,22,1111
4000001850064615,1083,1,9,1081
4000003900265752,1090,4,7,1089
4000003917261809,1122,10,26,1118
4000140112702585,1082,1,2,1081
4000000216142428,1118,8,9,1117
4000001840868516,1103,5,7,1089
4000000214946812,1150,20,26,1147
4000000222123764,1122,10,26,1120
4000001512344425,1144,18,26,1138
4000001840076842,1144,18,26,1140
4000000216871029,1083,1,5,1082
4000000224243719,1145,18,26,1144
4000001520409301,1113,7,11,1112
4000001850233118,1076,0,25,1073
4000003912887276,1103,5,7,1097
4000030110908284,1103,5,25,1098
4000140210064719,1103,5,7,1098
3104920031003029310,1118,8,9,1117
4000000006989952,1118,8,9,1117
4000000213842450,1152,21,26,1151
4000003913419123,1150,20,26,1145
4000003914945693,1113,7,11,1112
4000140112982506,1150,20,26,1147
4000150210052407,1103,5,8,1098
4000000213213927,1090,4,7,1089
4000000310063169,1105,6,8,1100
4000001830035049,1118,8,9,1117
4000000004613015,1118,8,9,1117
4000000211692272,1088,3,7,1084
4000000212319823,1083,1,3,1082
4000000215457733,1118,8,9,1116
4000000223176584,1106,6,7,1105
4000000312325251,1156,24,26,1153
4000003904053862,1113,7,11,1112
4000030110983639,1132,15,17,1122
4000000212597387,1118,8,9,1117
4000000220430204,1156,24,26,1150
4000001830096439,1090,4,7,1089
4000001840381999,1118,8,9,1117
4000001840556886,1076,0,25,1074
4000003914076952,1118,8,9,1116
4000000216853402,1146,19,26,1143
4000000222597869,1156,24,26,1155
4000001840587547,1103,5,7,1099
4000001850092223,1078,0,2,1073
4000001855291379,1103,5,7,1093
4000003901254962,1085,2,7,1084
4000003912017550,1103,5,7,1102
4000000223784389,938,7,14,937
4000000222203279,940,8,10,935
4000003900578022,946,11,26,945
4000000006376875,924,4,7,923
4000000224174196,946,11,25,945
4000000211783384,923,4,7,915
4000000223074712,912,0,26,908
4000001840827592,967,20,26,962
4000140110277463,949,13,25,948
4000140112938474,929,5,26,928
4000000217391421,974,24,26,973
4000000222101052,967,20,26,966
4000140120251850,974,24,26,973
4000003929515469,938,7,8,937
4000030111114358,938,7,11,937
4000000210389298,924,4,7,923
4000140120064419,974,24,26,972
4000003914388685,644,7,12,643
4000140112482727,666,16,17,659
4000140120204322,686,24,26,685
4000140120183812,620,2,25,619
4000140110005057,683,22,26,658
4000140112458255,623,3,5,620
4000000213958941,620,2,4,619
4000001850222820,636,5,7,635
4000003922164745,681,21,26,680
4000140112113731,647,8,10,646
4000000217346582,644,7,15,643
4000030111120681,636,5,7,635
4000140120173104,651,10,19,642
4000001520180142,644,7,11,643
4000003935628170,644,7,8,643
4000030110842616,643,7,11,636
4000140110551704,686,24,26,685
3104920033000149216,623,3,7,618
4000000213862951,669,17,26,659
4000000214063119,617,1,11,616
4000000217085914,636,5,7,635
4000140129020587,651,10,22,634
3104920031000475995,686,24,26,685
4000000087012108,651,10,15,643
4000030110975015,636,5,7,635
4000000212588956,617,1,21,616
4000000217164477,643,7,13,642
4000140110463760,623,3,8,605
4000140122029504,669,17,26,668
4000000214918057,666,16,19,652
4000003929961780,623,3,19,622
4000000007504197,542,6,7,541
4000000312483166,550,7,10,549
4000140110666978,566,14,26,563
4000140112764736,557,10,26,556
4000000223374032,550,7,10,549
4000001512409937,570,15,17,569
4000140112592144,557,10,26,554
4000001830336697,594,24,26,589
4000140112183640,570,15,16,569
4000140112950684,593,23,26,592
4000140127099712,550,7,10,549
4000000310901582,530,2,4,529
4000000312293856,592,23,26,584
4000030110500410,536,4,5,535
4000140112171270,525,1,3,524
4000140112655876,566,14,26,557
4000000212741348,556,9,19,554
4000001850178186,584,19,21,583
4000003909709284,570,15,26,569
4000003915162901,572,16,19,566
4000140112989887,592,23,26,585
3104920033000015953,533,3,7,532
4000003905335035,541,5,7,537
4000000215047395,550,7,10,549
4000000312464286,564,13,18,563
4000001512565406,525,1,4,524
4000001512581903,525,1,4,522
4000140112920095,557,10,26,555
3104920031002626140,556,9,26,553
4000000000378213,584,19,26,583
4000000221793280,570,15,19,569
4000003909093310,556,9,26,554
4000003928834215,543,6,7,542
4000140110030694,593,23,26,592
4000000310151285,553,8,10,550
4000001830360180,513,0,1,512
4000003900866599,556,9,26,552
4000140110094042,592,23,26,588
4000140110673739,557,10,26,555
4000140112610265,570,15,26,569
4000140112900598,525,1,3,524
4000000217640942,668,1,7,664
4000000222320061,682,5,7,676
4000140112991360,661,0,2,656
4000140122046870,684,6,12,683
4000001840516847,704,13,21,700
4000140110312415,709,15,18,706
4000140129077504,671,2,14,670
4000200112072542,694,8,10,686
4000003900204307,697,9,22,696
4000140112079734,726,24,26,725
4000000224067774,682,5,7,678
4000003925950125,675,4,7,672
4000003944918096,675,4,7,665
4000140112122595,709,15,18,703
4000000215647129,684,6,7,683
4000000220528432,704,13,26,693
4000001840333062,675,4,7,659
4000003901102908,704,13,26,702
4000003925775185,691,7,8,690
4000003934980306,673,3,7,669
4000140210096699,684,6,12,683
4000003916913654,707,14,17,706
4000003936516889,673,3,7,663
4000000211576835,704,13,26,700
4000000214068355,673,3,25,671
4000000224190776,726,24,26,725
4000003920437433,684,6,7,683
4000003936032458,721,21,26,710
4000000221614587,726,24,26,725
4000000221736547,684,6,7,683
4000140110029398,710,15,17,709
4000000215719682,709,15,25,696
4000001512556088,683,6,7,682
4000001840250659,675,4,21,671
4000001840988187,663,0,7,661
3104920031002613163,1224,16,22,1223
4000001830368561,1234,21,26,1231
4000003906221465,1231,19,22,1229
4000000213844566,1187,1,6,1186
4000000215283682,1193,4,7,1192
4000000222981924,1193,4,7,1192
4000000311012725,1238,23,26,1236
4000140112626261,1237,22,26,1236
4000140120078520,1189,2,4,1188
3104920031001388122,1208,8,9,1196
4000000217035524,1235,21,26,1234
4000000217295287,1208,8,9,1194
4000000223892446,1189,2,5,1188
4000001830025060,1193,4,7,1192
4000000211244568,1208,8,9,1203
4000140129073385,1213,11,25,1203
3104920033000315270,1182,0,1,1181
4000000221493682,1197,5,7,1188
4000000221824198,1197,5,7,1196
4000000223439594,1233,20,26,1232
4000001512368284,1213,11,13,1205
4000001830022655,1226,17,20,1217
4000001850208353,1231,19,22,1221
4000140120338653,1197,5,7,1187
4000000310023986,1182,0,9,1181
4000001830003885,1211,10,15,1209
4000140112992963,1191,3,13,1182
4000000210149795,1187,1,7,1186
4000000212300912,1187,1,3,1186
4000000222997212,1198,5,7,1196
4000000227007086,1222,15,18,1218
4000001850039224,1208,8,9,1205
4000001850041571,1231,19,26,1228
4000000004375961,1213,11,26,1211
4000000005682267,1187,1,9,1186
4000000221089939,628,7,12,627
4000000216008997,639,12,14,638
4000140120205246,602,1,3,601
4000140112596571,645,14,19,644
4000001840130429,602,1,17,593
4000001840311158,619,5,7,618
4000001840333042,618,5,7,614
4000140129068265,649,15,17,648
3104920031000456656,602,1,7,601
4000000212110779,664,21,26,663
4000000213135097,651,16,18,645
3104920032000411972,620,6,7,619
4000000211342338,631,8,10,630
4000000220940341,638,11,26,632
4000003921044115,663,20,26,662
4000140110529193,602,1,3,593
4000140112576512,602,1,26,594
4000140129044058,619,5,13,618
4000000211625165,660,19,26,659
4000000212758269,662,20,26,649
4000000214724881,645,14,19,644
4000000222971422,663,20,26,661
4000140110367550,635,9,22,634
4000140112746501,604,2,7,597
4000140210073920,598,0,4,594
4000000210179146,598,0,7,592
4000000214664142,631,8,15,630
4000000222800270,666,23,26,656
4000001520364841,602,1,2,587
4000140112591552,645,14,19,644
4000140112726479,602,1,7,593
4000000210032013,610,4,7,609
4000000223967494,636,10,19,635
4000030110849041,605,2,6,604
4000140110094023,621,6,7,620
4000140112585095,634,9,22,633
4000140112727533,645,14,15,644
4000140129015477,636,10,26,635
3104920033000304480,605,2,7,604
4000000210229316,505,7,11,504
4000001855170237,514,9,20,510
4000003917483342,491,6,7,490
4000003917926425,506,7,8,505
4000003940773483,545,20,26,544
4000030110834443,472,1,3,468
4000003939254339,529,16,19,525
4000000216330516,473,1,7,472
4000000216411998,515,9,19,514
4000000223870727,475,2,7,471
4000001840303706,507,7,20,506
4000001840430676,504,7,13,503
4000001850096907,504,7,8,502
4000000210217856,504,7,26,503
4000001840238077,504,7,8,503
4000001840712898,516,10,15,515
4000001855197383,545,20,21,544
4000001855274591,504,7,8,503
4000003903546207,522,13,26,518
4000003905246880,505,7,8,502
4000000212688370,504,7,9,503
4000000217138615,527,15,19,521
4000000217337518,505,7,8,503
4000000224052017,466,0,7,465
4000001840733309,529,16,20,524
4000140110585943,514,9,25,502
3104920031000711886,506,7,8,505
4000000210539567,545,20,26,544
4000000215688326,545,20,26,544
4000000221239539,491,6,7,490
4000000221885966,480,4,5,473
4000001840362868,504,7,12,503
4000000002015314,512,8,11,511
4000000004108587,518,11,21,517
4000000005546867,537,18,21,536
4000000215433091,537,18,26,536
4000000221659995,472,1,7,465
4000000224215803,522,13,20,517
4000001840069564,545,20,26,543
4000001840649732,545,20,21,544
4000003905297427,506,7,8,504
4000001840451165,506,7,8,503
4000003913962174,528,15,17,527
4000000210640939,491,6,7,490
4000000221575928,504,7,9,503
4000001517625288,505,7,8,504
3104920031000158393,504,7,8,503
3104920031000768266,504,7,9,503
4000000006594357,505,7,8,503
4000000217452522,504,7,15,503
4000000221683239,476,2,6,475
4000000223107457,504,7,15,503
4000000223838881,527,15,19,523
4000001520344723,516,10,16,515
4000001830368403,506,7,8,501
4000001830264283,472,1,4,461
4000001855185816,478,3,6,476
4000003900565518,506,7,8,505
4000003924166933,504,7,12,503
4000003938930081,529,16,21,522
4000140112569013,537,18,21,536
3104920031000150770,491,6,7,490
4000000213517833,1061,19,21,1060
4000003912734287,1065,21,26,1060
4000001830145936,1063,20,22,1060
4000003920338820,1065,21,25,1064
4000030110195188,1016,4,7,1002
4000030110894884,1029,7,14,1026
3105170070153545785,1063,20,22,1060
4000001840781558,1047,15,17,1045
4000003900504587,1061,19,26,1060
4000001850118797,1065,21,26,1062
4000001855196322,1033,8,9,1032
3104920031002043718,1061,19,26,1060
4000000216170807,1061,19,26,1060
4000000217206980,1029,7,9,1028
4000000220973507,1063,20,26,1062
4000000223007917,1016,4,10,1011
4000000210012382,1061,19,26,1060
4000000211682062,1061,19,26,1060
4000000212642327,1064,20,26,1062
4000000216639166,1039,12,20,1038
4000000220815790,1065,21,26,1061
4000000220870717,1065,21,25,1064
4000000222463989,1036,9,20,1035
4000001512611930,1063,20,22,1058
4000003933883499,1064,20,26,1063
4000000212107483,1024,6,7,1023
4000000212438556,1065,21,26,1064
4000000212498064,1033,8,13,1032
4000000224198552,1030,7,8,1029
4000001850234300,1063,20,26,1059
4000001830106642,1065,21,25,1063
4000001850140717,1022,5,7,1021
4000140129095252,1064,20,22,1063
4000150210093054,1065,21,22,1062
4000000006655193,1065,21,25,1063
4000000212153047,1014,3,7,1009
4000000221596817,1000,0,7,996
4000000220959745,1061,19,25,1060
4000140110180106,1063,20,21,1060
4000000213768960,1033,8,9,1032
4000000213975024,1069,24,26,1065
4000000215515143,1063,20,26,1062
4000000220859629,1033,8,9,1032
4000000412019949,1065,21,26,1064
4000000216746416,1061,19,26,1059
4000000217249685,1061,19,25,1060
4000000221190270,1029,7,10,1021
4000000221225905,1061,19,26,1060
4000001840202617,1000,0,1,996
4000000001097438,1029,7,12,1024
4000000215275732,1033,8,9,1032
3104920031001748366,522,9,11,521
4000001840758510,513,7,11,512
4000003916937623,513,7,11,512
4000030127028504,479,0,7,476
4000140110040450,483,1,4,482
4000140112768233,534,15,25,533
4000000213741829,486,2,6,485
4000000214187764,526,12,26,523
4000000217322842,522,9,20,521
4000000223985620,483,1,3,482
4000000224018224,523,10,18,520
4000000224134102,546,19,26,545
4000001840135741,558,24,26,555
4000000211436554,498,5,7,496
4000000220962976,476,0,7,474
4000000221876743,522,9,17,521
4000000223433661,550,20,26,548
4000001850050554,486,2,4,485
4000003929118429,513,7,8,512
4000003936789637,526,12,22,518
4000000007419051,523,10,20,519
4000000212399413,526,12,21,525
4000001520438320,519,8,10,517
4000001840428011,521,9,20,519
4000140112519420,522,9,26,521
4000000211057861,486,2,4,485
4000000211306513,522,9,20,521
4000000223951566,499,6,7,497
4000001512300130,523,10,20,513
4000001840195759,513,7,9,512
4000001840720203,522,9,21,521
4000001855262572,550,20,22,549
4000003914646742,558,24,26,557
4000140110443011,479,0,6,469
4000001512396314,482,1,5,478
4000001850056615,479,0,7,476
4000003900547164,476,0,7,472
4000030127027418,500,6,10,499
4000200112059373,500,6,9,499
3104920031001164200,500,6,7,499
4000000006107743,534,15,19,533
4000003907252843,489,3,7,488
4000003908629834,528,13,19,527
4000140110029832,522,9,26,521
4000140120312288,491,4,7,490
4000140210062129,523,10,20,521
4000000005905358,513,7,10,511
4000000222783916,476,0,7,475
4000000210762459,523,10,20,522
4000000211530593,500,6,10,499
4000000212474922,524,10,20,523
4000000227018230,486,2,17,485
4000001830192196,500,6,7,499
