Label,Boarding time,Boarding_station,Alighting_station,Arrival_time
4000000213297615,896,0,17,1134
4000000212327067,896,0,17,1134
4000000215366048,1120,0,11,1133
4000140112722540,1132,4,12,1134
4000003917265355,815,0,17,1134
4000000223772891,890,0,7,1133
4000001840590376,1124,1,4,1132
4000003920766782,1234,19,20,1236
3104920032000223294,1233,19,20,1236
4000000223523016,574,2,20,609
3104920031001986180,590,12,17,605
4000003912124593,578,5,7,583
4000000222340777,577,4,7,583
4000001840966141,562,0,20,609
4000140112589832,603,17,18,607
4000140129032097,604,17,19,608
4000000217603572,564,0,17,605
4000000221652294,574,2,20,609
4000003906058310,578,5,7,583
4000000221500425,574,2,5,579
4000000222118497,577,4,16,602
4000003922776279,586,9,15,600
4000003938576688,566,0,12,591
4000140110343092,572,1,17,605
4000140110692524,566,0,17,605
4000000215516287,590,12,17,605
4000140110438714,586,9,18,607
4000140110474421,579,5,16,602
3104920031001527240,574,2,20,609
4000140110583856,562,0,4,577
4000140112717363,603,17,18,607
4000140120206169,603,17,19,608
4000000215281390,591,12,14,599
4000000223948102,574,2,5,579
4000140110326197,573,1,17,605
4000140112518915,604,17,19,608
4000001850169120,576,3,7,583
4000140122012822,575,3,20,609
4000001512003699,572,1,17,605
4000001840675623,577,4,7,583
3104920031002459344,419,0,13,449
4000001840265802,418,0,17,453
4000140110635130,449,14,17,453
4000140120020163,435,6,14,450
4000001527000859,419,0,12,443
4000140210061620,418,0,17,453
4000150210067265,436,7,17,453
4000000216523670,416,0,9,439
3104920032000122579,448,13,18,456
4000001840962589,425,1,17,453
4000000211466946,416,0,9,439
4000000210038812,421,0,17,453
4000001840253542,420,0,5,432
4000140112015119,425,1,20,456
4000001520351112,435,6,12,443
4000140110058921,426,2,6,436
4000140112846425,449,14,17,453
4000000215368095,429,4,20,456
4000000006402990,421,0,10,440
4000000214070350,417,0,3,429
4000140110591482,451,15,17,453
4000140112633832,451,15,17,453
4000001520381356,419,0,20,456
4000140110475230,426,2,7,437
4000140112992699,449,14,17,453
3104920031001918811,895,0,10,924
4000140112711956,899,0,17,938
3104920032000123544,900,0,17,938
4000000212535981,894,0,17,938
4000140112076753,912,3,12,927
4000140112192176,935,15,20,942
4000000217429256,894,0,17,938
4000000221805405,897,0,7,920
4000000227021832,903,0,17,938
4000001830287589,894,0,17,938
4000003933310181,899,0,17,938
4000140112572440,913,3,12,927
4000000212378925,900,0,17,938
4000140110013966,914,4,20,942
4000001840331293,899,0,17,938
4000140112064787,933,13,16,937
