time_h1,time_h2,time_m1,time_m2,start_m,finish_m,order,s
5,6,45,0,346,360,0,2
5,6,45,0,346,360,1,1
5,6,45,0,346,360,2,1
5,6,45,0,346,360,3,1
5,6,45,0,346,360,4,1
5,6,45,0,346,360,5,2
5,6,45,0,346,360,6,1
5,6,45,0,346,360,7,2
5,6,45,0,346,360,8,0
5,6,45,0,346,360,9,1
5,6,45,0,346,360,10,1
5,6,45,0,346,360,11,1
5,6,45,0,346,360,12,5
5,6,45,0,346,360,13,1
5,6,45,0,346,360,14,1
5,6,45,0,346,360,15,1
5,6,45,0,346,360,16,0
5,6,45,0,346,360,17,1
5,6,45,0,346,360,18,1
5,6,45,0,346,360,19,1
6,6,0,15,361,375,0,3
6,6,0,15,361,375,1,1
6,6,0,15,361,375,2,1
6,6,0,15,361,375,3,0
6,6,0,15,361,375,4,1
6,6,0,15,361,375,5,3
6,6,0,15,361,375,6,0
6,6,0,15,361,375,7,1
6,6,0,15,361,375,8,0
6,6,0,15,361,375,9,0
6,6,0,15,361,375,10,1
6,6,0,15,361,375,11,1
6,6,0,15,361,375,12,6
6,6,0,15,361,375,13,1
6,6,0,15,361,375,14,1
6,6,0,15,361,375,15,1
6,6,0,15,361,375,16,1
6,6,0,15,361,375,17,1
6,6,0,15,361,375,18,1
6,6,0,15,361,375,19,1
6,6,15,30,376,390,0,3
6,6,15,30,376,390,1,1
6,6,15,30,376,390,2,1
6,6,15,30,376,390,3,1
6,6,15,30,376,390,4,1
6,6,15,30,376,390,5,4
6,6,15,30,376,390,6,0
6,6,15,30,376,390,7,1
6,6,15,30,376,390,8,0
6,6,15,30,376,390,9,1
6,6,15,30,376,390,10,1
6,6,15,30,376,390,11,1
6,6,15,30,376,390,12,6
6,6,15,30,376,390,13,1
6,6,15,30,376,390,14,1
6,6,15,30,376,390,15,1
6,6,15,30,376,390,16,1
6,6,15,30,376,390,17,1
6,6,15,30,376,390,18,1
6,6,15,30,376,390,19,1
6,6,30,45,391,405,0,3
6,6,30,45,391,405,1,1
6,6,30,45,391,405,2,1
6,6,30,45,391,405,3,1
6,6,30,45,391,405,4,1
6,6,30,45,391,405,5,3
6,6,30,45,391,405,6,0
6,6,30,45,391,405,7,1
6,6,30,45,391,405,8,0
6,6,30,45,391,405,9,1
6,6,30,45,391,405,10,1
6,6,30,45,391,405,11,1
6,6,30,45,391,405,12,6
6,6,30,45,391,405,13,1
6,6,30,45,391,405,14,1
6,6,30,45,391,405,15,1
6,6,30,45,391,405,16,1
6,6,30,45,391,405,17,1
6,6,30,45,391,405,18,1
6,6,30,45,391,405,19,1
6,7,45,0,406,420,0,3
6,7,45,0,406,420,1,1
