time_h1,time_h2,time_m1,time_m2,start_m,finish_m,order,s
4,5,45,0,286,300,10,2
5,6,45,0,346,360,0,2
5,6,45,0,346,360,1,1
5,6,45,0,346,360,2,3
5,6,45,0,346,360,3,1
5,6,45,0,346,360,4,3
5,6,45,0,346,360,5,2
5,6,45,0,346,360,6,1
5,6,45,0,346,360,7,2
5,6,45,0,346,360,8,1
5,6,45,0,346,360,9,3
5,6,45,0,346,360,10,3
6,6,0,15,361,375,0,2
6,6,0,15,361,375,1,1
6,6,0,15,361,375,2,3
6,6,0,15,361,375,3,1
6,6,0,15,361,375,4,3
6,6,0,15,361,375,5,2
6,6,0,15,361,375,6,2
6,6,0,15,361,375,7,2
6,6,0,15,361,375,8,1
6,6,0,15,361,375,9,3
6,6,0,15,361,375,10,3
6,6,15,30,376,390,0,2
6,6,15,30,376,390,1,1
6,6,15,30,376,390,2,3
6,6,15,30,376,390,3,1
6,6,15,30,376,390,4,3
6,6,15,30,376,390,5,2
6,6,15,30,376,390,6,2
6,6,15,30,376,390,7,2
6,6,15,30,376,390,8,1
6,6,15,30,376,390,9,3
6,6,15,30,376,390,10,3
6,6,30,45,391,405,0,2
6,6,30,45,391,405,1,1
6,6,30,45,391,405,2,3
6,6,30,45,391,405,3,1
6,6,30,45,391,405,4,3
6,6,30,45,391,405,5,2
6,6,30,45,391,405,6,1
6,6,30,45,391,405,7,2
6,6,30,45,391,405,8,1
6,6,30,45,391,405,9,2
6,6,30,45,391,405,10,2
6,7,45,0,406,420,0,2
6,7,45,0,406,420,1,1
6,7,45,0,406,420,2,3
6,7,45,0,406,420,3,1
6,7,45,0,406,420,4,3
6,7,45,0,406,420,5,2
6,7,45,0,406,420,6,2
6,7,45,0,406,420,7,2
6,7,45,0,406,420,8,1
6,7,45,0,406,420,9,2
6,7,45,0,406,420,10,2
7,7,0,15,421,435,0,2
7,7,0,15,421,435,1,1
7,7,0,15,421,435,2,3
7,7,0,15,421,435,3,1
7,7,0,15,421,435,4,3
7,7,0,15,421,435,5,2
7,7,0,15,421,435,6,1
7,7,0,15,421,435,7,2
7,7,0,15,421,435,8,1
7,7,0,15,421,435,9,3
7,7,0,15,421,435,10,2
7,7,15,30,436,450,0,2
7,7,15,30,436,450,1,1
7,7,15,30,436,450,2,3
7,7,15,30,436,450,3,2
7,7,15,30,436,450,4,3
7,7,15,30,436,450,5,2
7,7,15,30,436,450,6,1
7,7,15,30,436,450,7,2
7,7,15,30,436,450,8,1
7,7,15,30,436,450,9,2
7,7,15,30,436,450,10,2
7,7,30,45,451,465,0,3
7,7,30,45,451,465,1,1
7,7,30,45,451,465,2,3
7,7,30,45,451,465,3,2
7,7,30,45,451,465,4,3
7,7,30,45,451,465,5,2
7,7,30,45,451,465,6,2
7,7,30,45,451,465,7,2
7,7,30,45,451,465,8,1
7,7,30,45,451,465,9,2
7,7,30,45,451,465,10,2
7,8,45,0,466,480,0,3
7,8,45,0,466,480,1,1
7,8,45,0,466,480,2,3
7,8,45,0,466,480,3,2
7,8,45,0,466,480,4,3
7,8,45,0,466,480,5,2
7,8,45,0,466,480,6,2
7,8,45,0,466,480,7,2
7,8,45,0,466,480,8,1
7,8,45,0,466,480,9,2
7,8,45,0,466,480,10,2
8,8,0,15,481,495,0,4
8,8,0,15,481,495,1,1
8,8,0,15,481,495,2,3
8,8,0,15,481,495,3,1
8,8,0,15,481,495,4,3
8,8,0,15,481,495,5,2
8,8,0,15,481,495,6,2
8,8,0,15,481,495,7,2
8,8,0,15,481,495,8,1
8,8,0,15,481,495,9,3
8,8,0,15,481,495,10,2
8,8,15,30,496,510,0,4
8,8,15,30,496,510,1,1
8,8,15,30,496,510,2,4
8,8,15,30,496,510,3,2
8,8,15,30,496,510,4,5
8,8,15,30,496,510,5,2
8,8,15,30,496,510,6,1
8,8,15,30,496,510,7,2
8,8,15,30,496,510,8,1
8,8,15,30,496,510,9,2
8,8,15,30,496,510,10,2
8,8,30,45,511,525,0,4
8,8,30,45,511,525,1,1
8,8,30,45,511,525,2,4
8,8,30,45,511,525,3,1
8,8,30,45,511,525,4,3
8,8,30,45,511,525,5,2
8,8,30,45,511,525,6,2
8,8,30,45,511,525,7,2
8,8,30,45,511,525,8,1
8,8,30,45,511,525,9,2
8,8,30,45,511,525,10,2
8,9,45,0,526,540,0,4
8,9,45,0,526,540,1,1
8,9,45,0,526,540,2,4
8,9,45,0,526,540,3,2
8,9,45,0,526,540,4,3
8,9,45,0,526,540,5,2
8,9,45,0,526,540,6,2
8,9,45,0,526,540,7,2
8,9,45,0,526,540,8,1
8,9,45,0,526,540,9,2
8,9,45,0,526,540,10,2
9,9,0,15,541,555,0,3
9,9,0,15,541,555,1,1
9,9,0,15,541,555,2,3
9,9,0,15,541,555,3,2
9,9,0,15,541,555,4,3
9,9,0,15,541,555,5,2
9,9,0,15,541,555,6,2
9,9,0,15,541,555,7,2
9,9,0,15,541,555,8,1
9,9,0,15,541,555,9,2
9,9,0,15,541,555,10,2
9,9,15,30,556,570,0,3
9,9,15,30,556,570,1,1
9,9,15,30,556,570,2,3
9,9,15,30,556,570,3,2
9,9,15,30,556,570,4,3
9,9,15,30,556,570,5,2
9,9,15,30,556,570,6,2
9,9,15,30,556,570,7,2
9,9,15,30,556,570,8,1
9,9,15,30,556,570,9,2
9,9,15,30,556,570,10,2
9,9,30,45,571,585,0,3
9,9,30,45,571,585,1,1
9,9,30,45,571,585,2,3
9,9,30,45,571,585,3,2
9,9,30,45,571,585,4,3
9,9,30,45,571,585,5,2
9,9,30,45,571,585,6,2
9,9,30,45,571,585,7,2
9,9,30,45,571,585,8,1
9,9,30,45,571,585,9,2
9,9,30,45,571,585,10,2
9,10,45,0,586,600,0,3
9,10,45,0,586,600,1,1
9,10,45,0,586,600,2,4
9,10,45,0,586,600,3,2
9,10,45,0,586,600,4,3
9,10,45,0,586,600,5,2
9,10,45,0,586,600,6,2
9,10,45,0,586,600,7,2
9,10,45,0,586,600,8,1
9,10,45,0,586,600,9,2
9,10,45,0,586,600,10,2
10,10,0,15,601,615,0,4
10,10,0,15,601,615,1,1
10,10,0,15,601,615,2,4
10,10,0,15,601,615,3,1
10,10,0,15,601,615,4,3
10,10,0,15,601,615,5,2
10,10,0,15,601,615,6,2
10,10,0,15,601,615,7,2
10,10,0,15,601,615,8,1
10,10,0,15,601,615,9,2
10,10,0,15,601,615,10,2
10,10,15,30,616,630,0,4
10,10,15,30,616,630,1,1
10,10,15,30,616,630,2,5
10,10,15,30,616,630,3,1
10,10,15,30,616,630,4,3
10,10,15,30,616,630,5,2
10,10,15,30,616,630,6,1
10,10,15,30,616,630,7,2
10,10,15,30,616,630,8,1
10,10,15,30,616,630,9,2
10,10,15,30,616,630,10,2
10,10,30,45,631,645,0,4
10,10,30,45,631,645,1,1
10,10,30,45,631,645,2,5
10,10,30,45,631,645,3,1
10,10,30,45,631,645,4,3
10,10,30,45,631,645,5,2
10,10,30,45,631,645,6,2
10,10,30,45,631,645,7,2
10,10,30,45,631,645,8,1
10,10,30,45,631,645,9,3
10,10,30,45,631,645,10,2
10,11,45,0,646,660,0,4
10,11,45,0,646,660,1,1
10,11,45,0,646,660,2,4
10,11,45,0,646,660,3,1
10,11,45,0,646,660,4,4
10,11,45,0,646,660,5,2
10,11,45,0,646,660,6,2
10,11,45,0,646,660,7,2
10,11,45,0,646,660,8,1
10,11,45,0,646,660,9,3
10,11,45,0,646,660,10,2
11,11,0,15,661,675,0,4
11,11,0,15,661,675,1,1
11,11,0,15,661,675,2,5
11,11,0,15,661,675,3,2
11,11,0,15,661,675,4,3
11,11,0,15,661,675,5,2
11,11,0,15,661,675,6,2
11,11,0,15,661,675,7,2
11,11,0,15,661,675,8,1
11,11,0,15,661,675,9,2
11,11,0,15,661,675,10,2
11,11,15,30,676,690,0,4
11,11,15,30,676,690,1,1
11,11,15,30,676,690,2,4
11,11,15,30,676,690,3,1
11,11,15,30,676,690,4,3
11,11,15,30,676,690,5,2
11,11,15,30,676,690,6,1
11,11,15,30,676,690,7,2
11,11,15,30,676,690,8,1
11,11,15,30,676,690,9,2
11,11,15,30,676,690,10,2
11,11,30,45,691,705,0,3
11,11,30,45,691,705,1,1
11,11,30,45,691,705,2,4
11,11,30,45,691,705,3,1
11,11,30,45,691,705,4,3
11,11,30,45,691,705,5,2
11,11,30,45,691,705,6,2
11,11,30,45,691,705,7,2
11,11,30,45,691,705,8,1
11,11,30,45,691,705,9,2
11,11,30,45,691,705,10,2
11,12,45,0,706,720,0,3
11,12,45,0,706,720,1,1
11,12,45,0,706,720,2,4
11,12,45,0,706,720,3,1
11,12,45,0,706,720,4,3
11,12,45,0,706,720,5,2
11,12,45,0,706,720,6,1
11,12,45,0,706,720,7,2
11,12,45,0,706,720,8,1
11,12,45,0,706,720,9,2
11,12,45,0,706,720,10,2
12,12,0,15,721,735,0,3
12,12,0,15,721,735,1,1
12,12,0,15,721,735,2,4
12,12,0,15,721,735,3,1
12,12,0,15,721,735,4,3
12,12,0,15,721,735,5,2
12,12,0,15,721,735,6,1
12,12,0,15,721,735,7,2
12,12,0,15,721,735,8,1
12,12,0,15,721,735,9,2
12,12,0,15,721,735,10,2
12,12,15,30,736,750,0,3
12,12,15,30,736,750,1,1
12,12,15,30,736,750,2,4
12,12,15,30,736,750,3,1
12,12,15,30,736,750,4,3
12,12,15,30,736,750,5,2
12,12,15,30,736,750,6,1
12,12,15,30,736,750,7,2
12,12,15,30,736,750,8,1
12,12,15,30,736,750,9,3
12,12,15,30,736,750,10,2
12,12,30,45,751,765,0,3
12,12,30,45,751,765,1,1
12,12,30,45,751,765,2,4
12,12,30,45,751,765,3,1
12,12,30,45,751,765,4,3
12,12,30,45,751,765,5,2
12,12,30,45,751,765,6,1
12,12,30,45,751,765,7,2
12,12,30,45,751,765,8,1
12,12,30,45,751,765,9,2
12,12,30,45,751,765,10,2
12,13,45,0,766,780,0,3
12,13,45,0,766,780,1,1
12,13,45,0,766,780,2,4
12,13,45,0,766,780,3,1
12,13,45,0,766,780,4,3
12,13,45,0,766,780,5,2
12,13,45,0,766,780,6,2
12,13,45,0,766,780,7,2
12,13,45,0,766,780,8,1
12,13,45,0,766,780,9,3
12,13,45,0,766,780,10,2
13,13,0,15,781,795,0,3
13,13,0,15,781,795,1,1
13,13,0,15,781,795,2,4
13,13,0,15,781,795,3,1
13,13,0,15,781,795,4,3
13,13,0,15,781,795,5,2
13,13,0,15,781,795,6,1
13,13,0,15,781,795,7,2
13,13,0,15,781,795,8,1
13,13,0,15,781,795,9,2
13,13,0,15,781,795,10,2
13,13,15,30,796,810,0,3
13,13,15,30,796,810,1,1
13,13,15,30,796,810,2,4
13,13,15,30,796,810,3,1
13,13,15,30,796,810,4,3
13,13,15,30,796,810,5,2
13,13,15,30,796,810,6,1
13,13,15,30,796,810,7,2
13,13,15,30,796,810,8,1
13,13,15,30,796,810,9,2
13,13,15,30,796,810,10,2
13,13,30,45,811,825,0,3
13,13,30,45,811,825,1,1
13,13,30,45,811,825,2,4
13,13,30,45,811,825,3,1
13,13,30,45,811,825,4,3
13,13,30,45,811,825,5,2
13,13,30,45,811,825,6,1
13,13,30,45,811,825,7,2
13,13,30,45,811,825,8,1
13,13,30,45,811,825,9,2
13,13,30,45,811,825,10,2
13,14,45,0,826,840,0,3
13,14,45,0,826,840,1,1
13,14,45,0,826,840,2,4
13,14,45,0,826,840,3,1
13,14,45,0,826,840,4,3
13,14,45,0,826,840,5,2
13,14,45,0,826,840,6,2
13,14,45,0,826,840,7,2
13,14,45,0,826,840,8,1
13,14,45,0,826,840,9,2
13,14,45,0,826,840,10,2
14,14,0,15,841,855,0,3
14,14,0,15,841,855,1,1
14,14,0,15,841,855,2,5
14,14,0,15,841,855,3,1
14,14,0,15,841,855,4,3
14,14,0,15,841,855,5,2
14,14,0,15,841,855,6,2
14,14,0,15,841,855,7,2
14,14,0,15,841,855,8,1
14,14,0,15,841,855,9,3
14,14,0,15,841,855,10,2
14,14,15,30,856,870,0,3
14,14,15,30,856,870,1,1
14,14,15,30,856,870,2,5
14,14,15,30,856,870,3,1
14,14,15,30,856,870,4,3
14,14,15,30,856,870,5,2
14,14,15,30,856,870,6,2
14,14,15,30,856,870,7,2
14,14,15,30,856,870,8,1
14,14,15,30,856,870,9,3
14,14,15,30,856,870,10,2
14,14,30,45,871,885,0,3
14,14,30,45,871,885,1,1
14,14,30,45,871,885,2,4
14,14,30,45,871,885,3,1
14,14,30,45,871,885,4,3
14,14,30,45,871,885,5,2
14,14,30,45,871,885,6,2
14,14,30,45,871,885,7,2
14,14,30,45,871,885,8,1
14,14,30,45,871,885,9,2
14,14,30,45,871,885,10,2
14,15,45,0,886,900,0,3
14,15,45,0,886,900,1,1
14,15,45,0,886,900,2,4
14,15,45,0,886,900,3,1
14,15,45,0,886,900,4,3
14,15,45,0,886,900,5,2
14,15,45,0,886,900,6,1
14,15,45,0,886,900,7,2
14,15,45,0,886,900,8,1
14,15,45,0,886,900,9,2
14,15,45,0,886,900,10,2
15,15,0,15,901,915,0,3
15,15,0,15,901,915,1,1
15,15,0,15,901,915,2,4
15,15,0,15,901,915,3,1
15,15,0,15,901,915,4,3
15,15,0,15,901,915,5,2
15,15,0,15,901,915,6,2
15,15,0,15,901,915,7,2
15,15,0,15,901,915,8,1
15,15,0,15,901,915,9,2
15,15,0,15,901,915,10,2
15,15,15,30,916,930,0,3
15,15,15,30,916,930,1,1
15,15,15,30,916,930,2,4
15,15,15,30,916,930,3,1
15,15,15,30,916,930,4,3
15,15,15,30,916,930,5,2
15,15,15,30,916,930,6,1
15,15,15,30,916,930,7,2
15,15,15,30,916,930,8,1
15,15,15,30,916,930,9,3
15,15,15,30,916,930,10,2
15,15,30,45,931,945,0,3
15,15,30,45,931,945,1,1
15,15,30,45,931,945,2,4
15,15,30,45,931,945,3,1
15,15,30,45,931,945,4,3
15,15,30,45,931,945,5,2
15,15,30,45,931,945,6,1
15,15,30,45,931,945,7,2
15,15,30,45,931,945,8,1
15,15,30,45,931,945,9,2
15,15,30,45,931,945,10,2
15,16,45,0,946,960,0,4
15,16,45,0,946,960,1,1
15,16,45,0,946,960,2,4
15,16,45,0,946,960,3,1
15,16,45,0,946,960,4,3
15,16,45,0,946,960,5,2
15,16,45,0,946,960,6,1
15,16,45,0,946,960,7,2
15,16,45,0,946,960,8,1
15,16,45,0,946,960,9,2
15,16,45,0,946,960,10,2
16,16,0,15,961,975,0,4
16,16,0,15,961,975,1,1
16,16,0,15,961,975,2,5
16,16,0,15,961,975,3,1
16,16,0,15,961,975,4,3
16,16,0,15,961,975,5,2
16,16,0,15,961,975,6,1
16,16,0,15,961,975,7,2
16,16,0,15,961,975,8,1
16,16,0,15,961,975,9,2
16,16,0,15,961,975,10,2
16,16,15,30,976,990,0,4
16,16,15,30,976,990,1,1
16,16,15,30,976,990,2,4
16,16,15,30,976,990,3,1
16,16,15,30,976,990,4,3
16,16,15,30,976,990,5,2
16,16,15,30,976,990,6,1
16,16,15,30,976,990,7,2
16,16,15,30,976,990,8,1
16,16,15,30,976,990,9,3
16,16,15,30,976,990,10,2
16,16,30,45,991,1005,0,4
16,16,30,45,991,1005,1,1
16,16,30,45,991,1005,2,4
16,16,30,45,991,1005,3,1
16,16,30,45,991,1005,4,3
16,16,30,45,991,1005,5,2
16,16,30,45,991,1005,6,2
16,16,30,45,991,1005,7,2
16,16,30,45,991,1005,8,1
16,16,30,45,991,1005,9,2
16,16,30,45,991,1005,10,2
16,17,45,0,1006,1020,0,4
16,17,45,0,1006,1020,1,1
16,17,45,0,1006,1020,2,4
16,17,45,0,1006,1020,3,1
16,17,45,0,1006,1020,4,3
16,17,45,0,1006,1020,5,2
16,17,45,0,1006,1020,6,1
16,17,45,0,1006,1020,7,2
16,17,45,0,1006,1020,8,1
16,17,45,0,1006,1020,9,3
16,17,45,0,1006,1020,10,2
17,17,0,15,1021,1035,0,4
17,17,0,15,1021,1035,1,1
17,17,0,15,1021,1035,2,4
17,17,0,15,1021,1035,3,1
17,17,0,15,1021,1035,4,3
17,17,0,15,1021,1035,5,2
17,17,0,15,1021,1035,6,1
17,17,0,15,1021,1035,7,2
17,17,0,15,1021,1035,8,1
17,17,0,15,1021,1035,9,2
17,17,0,15,1021,1035,10,2
17,17,15,30,1036,1050,0,4
17,17,15,30,1036,1050,1,1
17,17,15,30,1036,1050,2,4
17,17,15,30,1036,1050,3,1
17,17,15,30,1036,1050,4,3
17,17,15,30,1036,1050,5,2
17,17,15,30,1036,1050,6,1
17,17,15,30,1036,1050,7,2
17,17,15,30,1036,1050,8,1
17,17,15,30,1036,1050,9,3
17,17,15,30,1036,1050,10,2
17,17,30,45,1051,1065,0,4
17,17,30,45,1051,1065,1,1
17,17,30,45,1051,1065,2,4
17,17,30,45,1051,1065,3,1
17,17,30,45,1051,1065,4,3
17,17,30,45,1051,1065,5,2
17,17,30,45,1051,1065,6,2
17,17,30,45,1051,1065,7,2
17,17,30,45,1051,1065,8,1
17,17,30,45,1051,1065,9,2
17,17,30,45,1051,1065,10,2
17,18,45,0,1066,1080,0,4
17,18,45,0,1066,1080,1,1
17,18,45,0,1066,1080,2,4
17,18,45,0,1066,1080,3,1
17,18,45,0,1066,1080,4,3
17,18,45,0,1066,1080,5,2
17,18,45,0,1066,1080,6,1
17,18,45,0,1066,1080,7,2
17,18,45,0,1066,1080,8,1
17,18,45,0,1066,1080,9,2
17,18,45,0,1066,1080,10,2
18,18,0,15,1081,1095,0,4
18,18,0,15,1081,1095,1,1
18,18,0,15,1081,1095,2,4
18,18,0,15,1081,1095,3,1
18,18,0,15,1081,1095,4,3
18,18,0,15,1081,1095,5,2
18,18,0,15,1081,1095,6,1
18,18,0,15,1081,1095,7,2
18,18,0,15,1081,1095,8,1
18,18,0,15,1081,1095,9,2
18,18,0,15,1081,1095,10,2
18,18,15,30,1096,1110,0,4
18,18,15,30,1096,1110,1,1
18,18,15,30,1096,1110,2,5
