time_h1,time_h2,time_m1,time_m2,start_m,finish_m,order,s
5,6,45,0,346,360,0,1
5,6,45,0,346,360,1,2
5,6,45,0,346,360,2,3
5,6,45,0,346,360,3,2
5,6,45,0,346,360,4,0
5,6,45,0,346,360,5,1
5,6,45,0,346,360,6,1
5,6,45,0,346,360,7,1
5,6,45,0,346,360,8,2
5,6,45,0,346,360,9,2
5,6,45,0,346,360,10,0
5,6,45,0,346,360,11,2
5,6,45,0,346,360,12,4
5,6,45,0,346,360,13,2
5,6,45,0,346,360,14,1
5,6,45,0,346,360,15,1
5,6,45,0,346,360,16,1
5,6,45,0,346,360,17,1
5,6,45,0,346,360,18,0
6,6,0,15,361,375,0,1
6,6,0,15,361,375,1,4
6,6,0,15,361,375,2,3
6,6,0,15,361,375,3,2
6,6,0,15,361,375,4,1
6,6,0,15,361,375,5,1
6,6,0,15,361,375,6,1
6,6,0,15,361,375,7,1
6,6,0,15,361,375,8,2
6,6,0,15,361,375,9,2
6,6,0,15,361,375,10,1
6,6,0,15,361,375,11,2
6,6,0,15,361,375,12,4
6,6,0,15,361,375,13,2
6,6,0,15,361,375,14,1
6,6,0,15,361,375,15,1
6,6,0,15,361,375,16,1
6,6,0,15,361,375,17,1
6,6,0,15,361,375,18,0
6,6,15,30,376,390,0,1
6,6,15,30,376,390,1,2
6,6,15,30,376,390,2,3
6,6,15,30,376,390,3,2
6,6,15,30,376,390,4,0
6,6,15,30,376,390,5,1
6,6,15,30,376,390,6,1
6,6,15,30,376,390,7,1
6,6,15,30,376,390,8,2
6,6,15,30,376,390,9,2
6,6,15,30,376,390,10,1
6,6,15,30,376,390,11,2
6,6,15,30,376,390,12,4
6,6,15,30,376,390,13,2
6,6,15,30,376,390,14,1
6,6,15,30,376,390,15,1
6,6,15,30,376,390,16,1
6,6,15,30,376,390,17,1
6,6,15,30,376,390,18,0
6,6,30,45,391,405,0,1
6,6,30,45,391,405,1,2
6,6,30,45,391,405,2,3
6,6,30,45,391,405,3,2
6,6,30,45,391,405,4,0
6,6,30,45,391,405,5,1
6,6,30,45,391,405,6,1
6,6,30,45,391,405,7,1
6,6,30,45,391,405,8,2
6,6,30,45,391,405,9,2
6,6,30,45,391,405,10,1
6,6,30,45,391,405,11,2
6,6,30,45,391,405,12,4
6,6,30,45,391,405,13,2
6,6,30,45,391,405,14,1
