Label,Boarding time,Boarding station,Alighting station,Arrival time
4000000211298620,436,4,15,407
4000000222803470,452,10,15,421
4000000310441099,445,8,15,444
4000003914574627,438,5,16,406
4000140120289608,448,9,15,438
4000140127091992,427,0,13,424
4000000005852332,457,12,15,456
4000000214342751,456,12,17,432
4000000214734522,463,13,16,444
4000000224249116,463,13,15,429
4000000310994682,436,4,16,423
4000000214084582,463,13,15,429
4000000214342835,438,5,19,421
50000010011000797476,440,6,9,439
4000000223219470,430,2,13,419
4000000810054383,434,3,15,429
4000001520394936,436,4,8,425
4000003932379188,430,2,15,410
4000003933746046,457,12,15,456
3104920031001384576,440,6,11,439
4000140112542949,436,4,11,429
4000140112551299,434,3,6,418
4000140129001279,427,0,7,420
4000000224085012,427,0,7,403
4000003910878282,448,9,13,445
4000140112538208,434,3,16,423
4000200112016955,434,3,16,419
4000140110417770,440,6,16,439
4000140110467584,428,1,7,425
3104920031000811264,438,5,17,408
4000000216559818,445,8,15,444
4000001830323397,437,4,9,436
4000001860011447,438,5,8,418
4000003906151702,435,3,8,434
4000001512352087,434,3,10,408
4000140112833334,440,6,12,439
4000140127063226,440,6,10,439
4000000007457806,427,0,17,412
4000000216521784,436,4,9,424
4000000217447931,445,8,12,444
4000000312052586,430,2,16,409
4000000213245822,442,7,13,418
4000000216868690,454,11,16,453
4000000220286927,434,3,15,426
4000000222142032,434,3,15,414
4000000310980798,436,4,10,435
4000003902839183,428,1,15,422
4000140112919151,454,11,13,453
4000140120238761,986,1,6,968
4000140110337384,996,6,11,980
3104920032000660800,1001,9,11,999
4000000310240881,986,1,15,982
4000140112794548,996,6,11,980
4000000211009237,985,0,13,984
4000000217264913,996,6,15,992
4000140112663338,996,6,10,994
4000001830048350,985,0,11,971
4000001830139813,986,1,7,977
4000003943369305,1003,10,15,1001
4000003925590367,1007,12,15,1006
4000140112868672,999,7,11,998
4000000212015997,995,5,13,994
4000000222407828,1000,8,15,999
4000003906096309,1001,9,15,994
4000140112936537,1001,9,11,990
4000001855301852,986,1,7,977
4000140110069324,830,1,19,814
4000000310540196,844,7,16,843
4000003943906486,853,12,15,838
4000140129104164,848,9,19,847
4000000221606751,853,12,13,833
4000140110360237,844,7,13,843
4000140112855698,831,1,15,830
4000140120042420,839,4,6,820
4000140127062299,830,1,7,817
4000140112091904,829,0,4,826
4000000214577847,836,3,15,835
4000200112012074,844,7,14,843
3104920031000796606,829,0,7,828
4000000210763715,848,9,15,847
4000030110956579,853,12,19,845
4000140120041604,830,1,6,814
4000140120324738,829,0,3,825
4000140210095520,830,1,6,809
4000000211553143,450,3,8,449
4000140112490723,452,4,6,451
4000140127030377,455,6,13,454
4000200110008980,443,0,15,438
3104920031002067196,455,6,15,449
3104920033000237169,452,4,15,451
4000150210006662,452,4,7,451
4000000213555122,457,7,10,456
4000001522013281,449,3,15,445
4000001850123987,451,4,16,444
4000140110139906,452,4,6,451
4000000212728976,449,3,8,441
4000000222537562,450,3,8,449
4000030111051976,477,15,16,476
4000140110379450,450,3,8,449
4000000210248617,444,1,17,435
4000000229012975,443,0,13,439
4000140122010645,451,4,6,444
4000000210075457,447,2,15,446
4000000211924231,444,1,6,438
4000001512483134,455,6,15,452
4000001840282702,453,5,11,451
4000003902707568,465,11,16,464
4000030127045512,449,3,16,445
4000140112831084,452,4,7,451
4000000213333412,455,6,13,451
4000000216761182,450,3,15,449
4000000312068706,477,15,16,474
4000001830291929,477,15,16,475
4000140112877764,455,6,8,454
3104920031002501194,477,15,16,476
3104920032000304581,449,3,9,442
4000003931201905,447,2,16,446
4000140112665770,451,4,13,446
4000140122000874,447,2,6,446
4000140122042722,453,5,7,445
4000140129093742,450,3,6,449
3104920031000810647,453,5,8,451
4000000210554582,455,6,8,452
4000000005945254,457,7,16,456
4000000007531261,453,5,9,449
4000000214194009,451,4,16,450
4000000223065849,452,4,8,451
4000000223378510,452,4,8,451
4000001512526687,453,5,16,446
4000001830207145,457,7,16,456
4000000220445873,451,4,8,447
4000001520169067,453,5,9,452
4000001830284737,453,5,15,447
4000001830376255,455,6,15,452
4000001850010881,474,13,16,471
4000001855065185,458,8,17,454
4000140120068502,449,3,7,442
4000000215340409,1010,0,13,1009
4000000310227960,1023,8,14,1018
4000003931426949,1010,0,9,1004
4000140112835335,1012,1,2,1011
4000003932556016,1026,9,15,1025
4000140122040636,1014,2,6,1013
4000000213631891,1037,13,15,1036
4000000220749502,1025,9,14,1022
4000000221560612,1019,5,13,1018
4000000223938282,1029,10,13,1028
4000140110463918,1020,6,15,1019
4000001830364479,1023,8,15,1019
4000003907786511,1020,6,15,1014
4000140112113634,1023,8,15,1021
4000000220698179,1025,9,12,1021
4000003912636945,1030,11,15,1025
4000000214510959,1037,13,15,1036
4000001840744998,1025,9,15,1020
4000000212442223,479,9,15,462
4000000312345776,479,9,14,471
4000001520346813,479,9,16,474
4000001830071459,492,13,17,474
4000140110221206,458,0,8,456
4000140110371161,471,6,16,468
4000140210037553,466,3,6,454
4000000004289374,480,9,17,479
4000000212392570,468,4,15,465
4000000215298319,471,6,19,470
4000000222759214,469,5,16,462
4000003910286237,493,13,19,492
4000030110107039,480,9,16,479
4000140110437428,468,4,6,457
4000000220497207,483,11,16,481
4000000221574640,486,12,16,475
4000001830260184,469,5,15,467
4000003943835670,469,5,17,465
4000030110997642,474,7,14,466
4000140129061119,468,4,6,459
3104920031000720812,492,13,17,482
4000000210045407,471,6,17,462
4000000210980673,468,4,15,456
4000000217000862,492,13,17,488
4000000223964738,475,7,12,474
4000001520060228,475,7,13,474
4000001840721569,463,2,14,462
4000001850062630,466,3,15,459
4000003902891523,469,5,16,464
4000003909887914,486,12,15,483
4000003931721653,466,3,6,463
4000030110553247,466,3,6,461
4000140112867554,496,14,16,495
4000000223117919,463,2,15,462
4000001520115532,476,8,16,474
4000001850161062,476,8,16,460
4000003907023147,482,10,16,472
4000150210025318,502,18,19,501
4000000227042539,460,1,7,446
4000140110288739,466,3,7,460
4000140110401824,459,0,8,458
4000000215537086,471,6,14,455
4000000221741975,466,3,13,465
4000001850203141,474,7,16,464
4000003913066621,479,9,16,465
4000003931058546,487,12,16,486
4000000211553197,471,6,8,464
4000000214230543,482,10,16,480
4000000215261197,468,4,15,453
4000000217071059,476,8,16,461
4000000223131941,492,13,17,481
4000001840221719,480,9,17,479
4000003934565999,469,5,17,460
4000140110326867,496,14,17,495
4000140110483873,460,1,7,447
4000140112068923,463,2,6,462
4000140112139198,463,2,16,462
4000150210006065,480,9,16,479
4000200112064146,466,3,7,464
4000000104474354,497,15,16,496
4000000216353805,469,5,13,462
4000000222354088,486,12,16,475
4000000222887533,483,11,15,475
4000001520379788,463,2,15,462
4000001520427626,476,8,16,468
4000001830172584,486,12,16,468
4000001840969790,471,6,8,460
4000000214255494,596,1,15,595
4000140127030258,594,0,7,582
4000140110034207,609,7,16,608
4000140112551293,613,9,11,600
4000140129004095,609,7,15,608
4000000006312531,593,0,15,589
