time_h1,time_h2,time_m1,time_m2,start_m,finish_m,order,s
5,6,45,0,346,360,0,3
5,6,45,0,346,360,1,1
5,6,45,0,346,360,2,2
5,6,45,0,346,360,3,2
5,6,45,0,346,360,4,2
5,6,45,0,346,360,5,2
5,6,45,0,346,360,6,2
5,6,45,0,346,360,7,1
5,6,45,0,346,360,8,2
5,6,45,0,346,360,9,2
5,6,45,0,346,360,10,1
5,6,45,0,346,360,11,1
5,6,45,0,346,360,12,1
5,6,45,0,346,360,13,1
5,6,45,0,346,360,14,1
5,6,45,0,346,360,15,0
5,6,45,0,346,360,16,1
5,6,45,0,346,360,17,1
5,6,45,0,346,360,18,4
5,6,45,0,346,360,19,1
5,6,45,0,346,360,20,4
5,6,45,0,346,360,21,1
5,6,45,0,346,360,22,1
5,6,45,0,346,360,23,2
6,6,0,15,361,375,0,3
6,6,0,15,361,375,1,1
6,6,0,15,361,375,2,2
6,6,0,15,361,375,3,2
6,6,0,15,361,375,4,2
6,6,0,15,361,375,5,1
6,6,0,15,361,375,6,2
6,6,0,15,361,375,7,1
6,6,0,15,361,375,8,1
6,6,0,15,361,375,9,2
6,6,0,15,361,375,10,1
6,6,0,15,361,375,11,1
6,6,0,15,361,375,12,2
6,6,0,15,361,375,13,1
6,6,0,15,361,375,14,1
6,6,0,15,361,375,15,0
6,6,0,15,361,375,16,1
6,6,0,15,361,375,17,2
6,6,0,15,361,375,18,5
6,6,0,15,361,375,19,1
6,6,0,15,361,375,20,4
6,6,0,15,361,375,21,2
6,6,0,15,361,375,22,2
6,6,0,15,361,375,23,4
6,6,15,30,376,390,0,3
6,6,15,30,376,390,1,1
6,6,15,30,376,390,2,2
6,6,15,30,376,390,3,2
6,6,15,30,376,390,4,2
6,6,15,30,376,390,5,1
6,6,15,30,376,390,6,2
6,6,15,30,376,390,7,1
6,6,15,30,376,390,8,1
6,6,15,30,376,390,9,2
6,6,15,30,376,390,10,1
6,6,15,30,376,390,11,1
6,6,15,30,376,390,12,2
6,6,15,30,376,390,13,1
6,6,15,30,376,390,14,1
6,6,15,30,376,390,15,0
6,6,15,30,376,390,16,1
6,6,15,30,376,390,17,2
6,6,15,30,376,390,18,6
6,6,15,30,376,390,19,1
6,6,15,30,376,390,20,4
6,6,15,30,376,390,21,2
6,6,15,30,376,390,22,2
6,6,15,30,376,390,23,4
6,6,30,45,391,405,0,3
6,6,30,45,391,405,1,1
6,6,30,45,391,405,2,2
6,6,30,45,391,405,3,2
6,6,30,45,391,405,4,2
6,6,30,45,391,405,5,1
6,6,30,45,391,405,6,2
6,6,30,45,391,405,7,1
6,6,30,45,391,405,8,1
6,6,30,45,391,405,9,2
6,6,30,45,391,405,10,1
6,6,30,45,391,405,11,2
6,6,30,45,391,405,12,2
6,6,30,45,391,405,13,0
6,6,30,45,391,405,14,1
6,6,30,45,391,405,15,0
6,6,30,45,391,405,16,1
6,6,30,45,391,405,17,2
6,6,30,45,391,405,18,5
6,6,30,45,391,405,19,1
6,6,30,45,391,405,20,3
6,6,30,45,391,405,21,2
6,6,30,45,391,405,22,2
6,6,30,45,391,405,23,4
6,7,45,0,406,420,0,3
6,7,45,0,406,420,1,1
6,7,45,0,406,420,2,2
6,7,45,0,406,420,3,3
6,7,45,0,406,420,4,2
6,7,45,0,406,420,5,2
6,7,45,0,406,420,6,2
6,7,45,0,406,420,7,1
6,7,45,0,406,420,8,1
6,7,45,0,406,420,9,2
6,7,45,0,406,420,10,1
6,7,45,0,406,420,11,2
6,7,45,0,406,420,12,2
6,7,45,0,406,420,13,1
6,7,45,0,406,420,14,1
6,7,45,0,406,420,15,0
6,7,45,0,406,420,16,1
6,7,45,0,406,420,17,2
6,7,45,0,406,420,18,6
6,7,45,0,406,420,19,1
6,7,45,0,406,420,20,4
6,7,45,0,406,420,21,2
6,7,45,0,406,420,22,1
6,7,45,0,406,420,23,3
7,7,0,15,421,435,0,4
7,7,0,15,421,435,1,1
7,7,0,15,421,435,2,2
7,7,0,15,421,435,3,3
7,7,0,15,421,435,4,2
7,7,0,15,421,435,5,2
7,7,0,15,421,435,6,2
7,7,0,15,421,435,7,1
7,7,0,15,421,435,8,1
7,7,0,15,421,435,9,2
7,7,0,15,421,435,10,2
7,7,0,15,421,435,11,2
7,7,0,15,421,435,12,2
7,7,0,15,421,435,13,1
7,7,0,15,421,435,14,1
7,7,0,15,421,435,15,0
7,7,0,15,421,435,16,1
7,7,0,15,421,435,17,2
7,7,0,15,421,435,18,6
7,7,0,15,421,435,19,1
7,7,0,15,421,435,20,5
7,7,0,15,421,435,21,2
7,7,0,15,421,435,22,2
7,7,0,15,421,435,23,3
7,7,15,30,436,450,0,4
7,7,15,30,436,450,1,2
7,7,15,30,436,450,2,2
7,7,15,30,436,450,3,3
7,7,15,30,436,450,4,2
7,7,15,30,436,450,5,2
7,7,15,30,436,450,6,2
7,7,15,30,436,450,7,1
7,7,15,30,436,450,8,1
7,7,15,30,436,450,9,2
7,7,15,30,436,450,10,2
7,7,15,30,436,450,11,2
7,7,15,30,436,450,12,2
7,7,15,30,436,450,13,1
7,7,15,30,436,450,14,1
7,7,15,30,436,450,15,0
7,7,15,30,436,450,16,1
7,7,15,30,436,450,17,2
7,7,15,30,436,450,18,7
7,7,15,30,436,450,19,1
7,7,15,30,436,450,20,5
7,7,15,30,436,450,21,2
7,7,15,30,436,450,22,2
7,7,15,30,436,450,23,3
7,7,30,45,451,465,0,5
7,7,30,45,451,465,1,1
7,7,30,45,451,465,2,2
7,7,30,45,451,465,3,3
7,7,30,45,451,465,4,2
7,7,30,45,451,465,5,2
7,7,30,45,451,465,6,2
7,7,30,45,451,465,7,1
7,7,30,45,451,465,8,1
7,7,30,45,451,465,9,2
7,7,30,45,451,465,10,2
7,7,30,45,451,465,11,2
7,7,30,45,451,465,12,2
7,7,30,45,451,465,13,1
7,7,30,45,451,465,14,1
7,7,30,45,451,465,15,0
7,7,30,45,451,465,16,1
7,7,30,45,451,465,17,1
7,7,30,45,451,465,18,7
7,7,30,45,451,465,19,1
7,7,30,45,451,465,20,5
7,7,30,45,451,465,21,2
7,7,30,45,451,465,22,2
7,7,30,45,451,465,23,3
7,8,45,0,466,480,0,5
7,8,45,0,466,480,1,1
7,8,45,0,466,480,2,3
7,8,45,0,466,480,3,3
7,8,45,0,466,480,4,3
7,8,45,0,466,480,5,2
7,8,45,0,466,480,6,2
7,8,45,0,466,480,7,1
7,8,45,0,466,480,8,2
7,8,45,0,466,480,9,2
7,8,45,0,466,480,10,2
7,8,45,0,466,480,11,2
7,8,45,0,466,480,12,2
7,8,45,0,466,480,13,1
7,8,45,0,466,480,14,1
7,8,45,0,466,480,15,0
7,8,45,0,466,480,16,1
7,8,45,0,466,480,17,1
7,8,45,0,466,480,18,7
7,8,45,0,466,480,19,1
7,8,45,0,466,480,20,5
7,8,45,0,466,480,21,2
7,8,45,0,466,480,22,2
7,8,45,0,466,480,23,3
8,8,0,15,481,495,0,5
8,8,0,15,481,495,1,1
8,8,0,15,481,495,2,3
8,8,0,15,481,495,3,3
8,8,0,15,481,495,4,3
8,8,0,15,481,495,5,2
8,8,0,15,481,495,6,3
8,8,0,15,481,495,7,1
8,8,0,15,481,495,8,2
8,8,0,15,481,495,9,2
8,8,0,15,481,495,10,2
8,8,0,15,481,495,11,2
8,8,0,15,481,495,12,2
8,8,0,15,481,495,13,1
8,8,0,15,481,495,14,1
8,8,0,15,481,495,15,0
8,8,0,15,481,495,16,1
8,8,0,15,481,495,17,1
8,8,0,15,481,495,18,5
8,8,0,15,481,495,19,1
8,8,0,15,481,495,20,4
8,8,0,15,481,495,21,2
8,8,0,15,481,495,22,2
8,8,0,15,481,495,23,3
8,8,15,30,496,510,0,5
8,8,15,30,496,510,1,1
8,8,15,30,496,510,2,3
8,8,15,30,496,510,3,3
8,8,15,30,496,510,4,3
8,8,15,30,496,510,5,2
8,8,15,30,496,510,6,3
8,8,15,30,496,510,7,1
8,8,15,30,496,510,8,2
8,8,15,30,496,510,9,2
8,8,15,30,496,510,10,1
8,8,15,30,496,510,11,2
8,8,15,30,496,510,12,2
8,8,15,30,496,510,13,1
8,8,15,30,496,510,14,1
8,8,15,30,496,510,15,0
8,8,15,30,496,510,16,1
8,8,15,30,496,510,17,1
8,8,15,30,496,510,18,6
8,8,15,30,496,510,19,1
8,8,15,30,496,510,20,4
8,8,15,30,496,510,21,2
8,8,15,30,496,510,22,2
8,8,15,30,496,510,23,3
8,8,30,45,511,525,0,5
8,8,30,45,511,525,1,1
8,8,30,45,511,525,2,3
8,8,30,45,511,525,3,3
8,8,30,45,511,525,4,3
8,8,30,45,511,525,5,2
8,8,30,45,511,525,6,3
8,8,30,45,511,525,7,1
8,8,30,45,511,525,8,1
8,8,30,45,511,525,9,2
8,8,30,45,511,525,10,1
8,8,30,45,511,525,11,2
8,8,30,45,511,525,12,2
8,8,30,45,511,525,13,1
8,8,30,45,511,525,14,1
8,8,30,45,511,525,15,0
8,8,30,45,511,525,16,1
8,8,30,45,511,525,17,2
8,8,30,45,511,525,18,7
8,8,30,45,511,525,19,1
8,8,30,45,511,525,20,4
8,8,30,45,511,525,21,2
8,8,30,45,511,525,22,2
8,8,30,45,511,525,23,3
8,9,45,0,526,540,0,5
8,9,45,0,526,540,1,1
8,9,45,0,526,540,2,2
8,9,45,0,526,540,3,3
8,9,45,0,526,540,4,3
8,9,45,0,526,540,5,2
8,9,45,0,526,540,6,3
8,9,45,0,526,540,7,1
8,9,45,0,526,540,8,2
8,9,45,0,526,540,9,2
8,9,45,0,526,540,10,1
8,9,45,0,526,540,11,2
8,9,45,0,526,540,12,2
8,9,45,0,526,540,13,1
8,9,45,0,526,540,14,1
8,9,45,0,526,540,15,0
8,9,45,0,526,540,16,1
8,9,45,0,526,540,17,2
8,9,45,0,526,540,18,7
8,9,45,0,526,540,19,1
8,9,45,0,526,540,20,4
8,9,45,0,526,540,21,2
8,9,45,0,526,540,22,2
8,9,45,0,526,540,23,3
9,9,0,15,541,555,0,5
9,9,0,15,541,555,1,1
9,9,0,15,541,555,2,2
9,9,0,15,541,555,3,4
9,9,0,15,541,555,4,2
9,9,0,15,541,555,5,2
9,9,0,15,541,555,6,3
9,9,0,15,541,555,7,1
9,9,0,15,541,555,8,1
9,9,0,15,541,555,9,2
9,9,0,15,541,555,10,1
9,9,0,15,541,555,11,2
9,9,0,15,541,555,12,2
9,9,0,15,541,555,13,1
9,9,0,15,541,555,14,1
9,9,0,15,541,555,15,0
9,9,0,15,541,555,16,1
9,9,0,15,541,555,17,2
9,9,0,15,541,555,18,7
9,9,0,15,541,555,19,1
9,9,0,15,541,555,20,5
9,9,0,15,541,555,21,2
9,9,0,15,541,555,22,1
9,9,0,15,541,555,23,3
9,9,15,30,556,570,0,4
9,9,15,30,556,570,1,1
9,9,15,30,556,570,2,2
9,9,15,30,556,570,3,4
9,9,15,30,556,570,4,2
9,9,15,30,556,570,5,2
9,9,15,30,556,570,6,3
9,9,15,30,556,570,7,1
9,9,15,30,556,570,8,2
9,9,15,30,556,570,9,2
9,9,15,30,556,570,10,1
9,9,15,30,556,570,11,2
9,9,15,30,556,570,12,2
9,9,15,30,556,570,13,1
9,9,15,30,556,570,14,1
9,9,15,30,556,570,15,0
9,9,15,30,556,570,16,1
9,9,15,30,556,570,17,2
9,9,15,30,556,570,18,7
9,9,15,30,556,570,19,1
9,9,15,30,556,570,20,5
9,9,15,30,556,570,21,2
9,9,15,30,556,570,22,2
9,9,15,30,556,570,23,3
9,9,30,45,571,585,0,4
9,9,30,45,571,585,1,1
9,9,30,45,571,585,2,2
9,9,30,45,571,585,3,3
9,9,30,45,571,585,4,2
9,9,30,45,571,585,5,2
9,9,30,45,571,585,6,3
9,9,30,45,571,585,7,1
9,9,30,45,571,585,8,1
9,9,30,45,571,585,9,2
9,9,30,45,571,585,10,1
9,9,30,45,571,585,11,3
9,9,30,45,571,585,12,2
9,9,30,45,571,585,13,1
9,9,30,45,571,585,14,1
9,9,30,45,571,585,15,0
9,9,30,45,571,585,16,1
9,9,30,45,571,585,17,1
9,9,30,45,571,585,18,7
9,9,30,45,571,585,19,1
9,9,30,45,571,585,20,5
9,9,30,45,571,585,21,2
9,9,30,45,571,585,22,2
9,9,30,45,571,585,23,3
9,10,45,0,586,600,0,4
9,10,45,0,586,600,1,1
9,10,45,0,586,600,2,2
9,10,45,0,586,600,3,3
9,10,45,0,586,600,4,2
9,10,45,0,586,600,5,2
9,10,45,0,586,600,6,3
9,10,45,0,586,600,7,1
9,10,45,0,586,600,8,1
9,10,45,0,586,600,9,2
9,10,45,0,586,600,10,1
9,10,45,0,586,600,11,3
9,10,45,0,586,600,12,2
9,10,45,0,586,600,13,1
9,10,45,0,586,600,14,1
9,10,45,0,586,600,15,0
9,10,45,0,586,600,16,1
9,10,45,0,586,600,17,2
9,10,45,0,586,600,18,6
9,10,45,0,586,600,19,1
9,10,45,0,586,600,20,5
9,10,45,0,586,600,21,2
9,10,45,0,586,600,22,1
9,10,45,0,586,600,23,3
10,10,0,15,601,615,0,4
10,10,0,15,601,615,1,1
10,10,0,15,601,615,2,2
10,10,0,15,601,615,3,2
10,10,0,15,601,615,4,2
10,10,0,15,601,615,5,2
10,10,0,15,601,615,6,2
10,10,0,15,601,615,7,1
10,10,0,15,601,615,8,1
10,10,0,15,601,615,9,2
10,10,0,15,601,615,10,1
10,10,0,15,601,615,11,3
10,10,0,15,601,615,12,2
10,10,0,15,601,615,13,1
10,10,0,15,601,615,14,1
10,10,0,15,601,615,15,0
10,10,0,15,601,615,16,1
10,10,0,15,601,615,17,1
10,10,0,15,601,615,18,6
10,10,0,15,601,615,19,1
10,10,0,15,601,615,20,5
10,10,0,15,601,615,21,2
10,10,0,15,601,615,22,1
10,10,0,15,601,615,23,2
10,10,15,30,616,630,0,4
10,10,15,30,616,630,1,1
10,10,15,30,616,630,2,2
10,10,15,30,616,630,3,2
10,10,15,30,616,630,4,2
10,10,15,30,616,630,5,2
10,10,15,30,616,630,6,2
10,10,15,30,616,630,7,1
10,10,15,30,616,630,8,2
10,10,15,30,616,630,9,2
10,10,15,30,616,630,10,1
10,10,15,30,616,630,11,2
10,10,15,30,616,630,12,2
10,10,15,30,616,630,13,1
10,10,15,30,616,630,14,1
10,10,15,30,616,630,15,0
10,10,15,30,616,630,16,1
10,10,15,30,616,630,17,1
10,10,15,30,616,630,18,6
10,10,15,30,616,630,19,1
10,10,15,30,616,630,20,5
10,10,15,30,616,630,21,2
10,10,15,30,616,630,22,1
10,10,15,30,616,630,23,2
10,10,30,45,631,645,0,4
10,10,30,45,631,645,1,1
10,10,30,45,631,645,2,2
10,10,30,45,631,645,3,3
10,10,30,45,631,645,4,2
10,10,30,45,631,645,5,2
10,10,30,45,631,645,6,2
10,10,30,45,631,645,7,1
10,10,30,45,631,645,8,2
10,10,30,45,631,645,9,2
10,10,30,45,631,645,10,1
10,10,30,45,631,645,11,3
10,10,30,45,631,645,12,2
10,10,30,45,631,645,13,1
10,10,30,45,631,645,14,1
10,10,30,45,631,645,15,0
10,10,30,45,631,645,16,1
10,10,30,45,631,645,17,1
10,10,30,45,631,645,18,6
10,10,30,45,631,645,19,1
10,10,30,45,631,645,20,4
10,10,30,45,631,645,21,2
10,10,30,45,631,645,22,1
10,10,30,45,631,645,23,2
10,11,45,0,646,660,0,4
10,11,45,0,646,660,1,1
10,11,45,0,646,660,2,2
10,11,45,0,646,660,3,3
10,11,45,0,646,660,4,2
10,11,45,0,646,660,5,2
10,11,45,0,646,660,6,2
10,11,45,0,646,660,7,1
10,11,45,0,646,660,8,1
10,11,45,0,646,660,9,2
10,11,45,0,646,660,10,1
10,11,45,0,646,660,11,3
10,11,45,0,646,660,12,2
10,11,45,0,646,660,13,1
10,11,45,0,646,660,14,1
10,11,45,0,646,660,15,0
10,11,45,0,646,660,16,1
10,11,45,0,646,660,17,1
10,11,45,0,646,660,18,6
10,11,45,0,646,660,19,1
10,11,45,0,646,660,20,5
10,11,45,0,646,660,21,2
10,11,45,0,646,660,22,1
10,11,45,0,646,660,23,2
11,11,0,15,661,675,0,4
11,11,0,15,661,675,1,1
11,11,0,15,661,675,2,2
11,11,0,15,661,675,3,2
11,11,0,15,661,675,4,2
11,11,0,15,661,675,5,2
11,11,0,15,661,675,6,2
11,11,0,15,661,675,7,1
11,11,0,15,661,675,8,1
11,11,0,15,661,675,9,2
11,11,0,15,661,675,10,1
11,11,0,15,661,675,11,2
11,11,0,15,661,675,12,2
11,11,0,15,661,675,13,1
11,11,0,15,661,675,14,1
11,11,0,15,661,675,15,0
11,11,0,15,661,675,16,1
11,11,0,15,661,675,17,1
11,11,0,15,661,675,18,5
11,11,0,15,661,675,19,1
11,11,0,15,661,675,20,4
11,11,0,15,661,675,21,2
11,11,0,15,661,675,22,1
11,11,0,15,661,675,23,2
11,11,15,30,676,690,0,4
11,11,15,30,676,690,1,1
11,11,15,30,676,690,2,2
11,11,15,30,676,690,3,2
11,11,15,30,676,690,4,2
11,11,15,30,676,690,5,2
11,11,15,30,676,690,6,2
11,11,15,30,676,690,7,1
11,11,15,30,676,690,8,2
11,11,15,30,676,690,9,2
11,11,15,30,676,690,10,1
11,11,15,30,676,690,11,2
11,11,15,30,676,690,12,2
11,11,15,30,676,690,13,1
11,11,15,30,676,690,14,1
11,11,15,30,676,690,15,0
11,11,15,30,676,690,16,1
11,11,15,30,676,690,17,1
11,11,15,30,676,690,18,5
11,11,15,30,676,690,19,1
11,11,15,30,676,690,20,4
11,11,15,30,676,690,21,2
11,11,15,30,676,690,22,1
11,11,15,30,676,690,23,2
11,11,30,45,691,705,0,4
11,11,30,45,691,705,1,1
11,11,30,45,691,705,2,2
11,11,30,45,691,705,3,3
11,11,30,45,691,705,4,2
11,11,30,45,691,705,5,2
11,11,30,45,691,705,6,2
11,11,30,45,691,705,7,1
11,11,30,45,691,705,8,1
11,11,30,45,691,705,9,2
11,11,30,45,691,705,10,1
11,11,30,45,691,705,11,2
11,11,30,45,691,705,12,2
11,11,30,45,691,705,13,1
11,11,30,45,691,705,14,1
11,11,30,45,691,705,15,0
11,11,30,45,691,705,16,1
11,11,30,45,691,705,17,1
11,11,30,45,691,705,18,5
11,11,30,45,691,705,19,1
11,11,30,45,691,705,20,4
11,11,30,45,691,705,21,2
11,11,30,45,691,705,22,1
11,11,30,45,691,705,23,2
11,12,45,0,706,720,0,4
11,12,45,0,706,720,1,1
11,12,45,0,706,720,2,2
11,12,45,0,706,720,3,2
11,12,45,0,706,720,4,2
11,12,45,0,706,720,5,2
11,12,45,0,706,720,6,2
11,12,45,0,706,720,7,1
11,12,45,0,706,720,8,1
11,12,45,0,706,720,9,2
11,12,45,0,706,720,10,1
11,12,45,0,706,720,11,2
11,12,45,0,706,720,12,2
11,12,45,0,706,720,13,1
11,12,45,0,706,720,14,1
11,12,45,0,706,720,15,0
11,12,45,0,706,720,16,1
11,12,45,0,706,720,17,1
11,12,45,0,706,720,18,5
11,12,45,0,706,720,19,1
11,12,45,0,706,720,20,4
11,12,45,0,706,720,21,2
11,12,45,0,706,720,22,1
11,12,45,0,706,720,23,2
12,12,0,15,721,735,0,3
12,12,0,15,721,735,1,1
12,12,0,15,721,735,2,2
12,12,0,15,721,735,3,2
12,12,0,15,721,735,4,2
12,12,0,15,721,735,5,2
12,12,0,15,721,735,6,2
12,12,0,15,721,735,7,1
12,12,0,15,721,735,8,1
12,12,0,15,721,735,9,2
12,12,0,15,721,735,10,1
12,12,0,15,721,735,11,2
12,12,0,15,721,735,12,2
12,12,0,15,721,735,13,1
12,12,0,15,721,735,14,1
12,12,0,15,721,735,15,0
12,12,0,15,721,735,16,1
12,12,0,15,721,735,17,1
12,12,0,15,721,735,18,5
12,12,0,15,721,735,19,1
12,12,0,15,721,735,20,4
12,12,0,15,721,735,21,2
12,12,0,15,721,735,22,1
12,12,0,15,721,735,23,2
12,12,15,30,736,750,0,4
12,12,15,30,736,750,1,1
12,12,15,30,736,750,2,2
12,12,15,30,736,750,3,3
12,12,15,30,736,750,4,2
12,12,15,30,736,750,5,2
12,12,15,30,736,750,6,2
12,12,15,30,736,750,7,1
12,12,15,30,736,750,8,2
12,12,15,30,736,750,9,2
12,12,15,30,736,750,10,1
12,12,15,30,736,750,11,2
12,12,15,30,736,750,12,2
12,12,15,30,736,750,13,1
12,12,15,30,736,750,14,1
12,12,15,30,736,750,15,0
12,12,15,30,736,750,16,1
12,12,15,30,736,750,17,1
12,12,15,30,736,750,18,6
12,12,15,30,736,750,19,1
12,12,15,30,736,750,20,4
12,12,15,30,736,750,21,2
12,12,15,30,736,750,22,1
12,12,15,30,736,750,23,2
12,12,30,45,751,765,0,3
12,12,30,45,751,765,1,1
12,12,30,45,751,765,2,2
12,12,30,45,751,765,3,2
12,12,30,45,751,765,4,2
12,12,30,45,751,765,5,2
12,12,30,45,751,765,6,2
12,12,30,45,751,765,7,1
12,12,30,45,751,765,8,1
12,12,30,45,751,765,9,2
12,12,30,45,751,765,10,1
12,12,30,45,751,765,11,2
12,12,30,45,751,765,12,2
12,12,30,45,751,765,13,1
12,12,30,45,751,765,14,1
12,12,30,45,751,765,15,0
12,12,30,45,751,765,16,1
12,12,30,45,751,765,17,2
12,12,30,45,751,765,18,6
12,12,30,45,751,765,19,1
12,12,30,45,751,765,20,4
12,12,30,45,751,765,21,2
12,12,30,45,751,765,22,1
12,12,30,45,751,765,23,2
12,13,45,0,766,780,0,4
12,13,45,0,766,780,1,1
12,13,45,0,766,780,2,2
12,13,45,0,766,780,3,2
12,13,45,0,766,780,4,2
12,13,45,0,766,780,5,2
12,13,45,0,766,780,6,2
12,13,45,0,766,780,7,1
12,13,45,0,766,780,8,2
12,13,45,0,766,780,9,2
12,13,45,0,766,780,10,1
12,13,45,0,766,780,11,2
12,13,45,0,766,780,12,2
12,13,45,0,766,780,13,1
12,13,45,0,766,780,14,1
12,13,45,0,766,780,15,0
12,13,45,0,766,780,16,1
12,13,45,0,766,780,17,1
12,13,45,0,766,780,18,5
12,13,45,0,766,780,19,1
12,13,45,0,766,780,20,4
12,13,45,0,766,780,21,2
12,13,45,0,766,780,22,1
12,13,45,0,766,780,23,2
13,13,0,15,781,795,0,4
13,13,0,15,781,795,1,1
13,13,0,15,781,795,2,2
13,13,0,15,781,795,3,3
13,13,0,15,781,795,4,2
13,13,0,15,781,795,5,2
13,13,0,15,781,795,6,2
13,13,0,15,781,795,7,1
13,13,0,15,781,795,8,1
13,13,0,15,781,795,9,2
13,13,0,15,781,795,10,1
13,13,0,15,781,795,11,2
13,13,0,15,781,795,12,2
13,13,0,15,781,795,13,1
13,13,0,15,781,795,14,1
13,13,0,15,781,795,15,0
13,13,0,15,781,795,16,1
13,13,0,15,781,795,17,1
13,13,0,15,781,795,18,5
13,13,0,15,781,795,19,1
13,13,0,15,781,795,20,4
13,13,0,15,781,795,21,2
13,13,0,15,781,795,22,1
13,13,0,15,781,795,23,2
13,13,15,30,796,810,0,4
13,13,15,30,796,810,1,1
13,13,15,30,796,810,2,2
